"Anyagazon","Anyagnev","me","afa","netto","brutto","Raktarazon"
"1/1","Szemesi kenyér 1 kg-os","db","18","179","211","0"
"1/2","Szemesi  kenyér 500 gr-os","db","18","98","116","0"
"1/3","Szemesi kenyér 2 kg","db","18","358","422","0"
"1/4","Nagyi kenyere 2 kg-os","db","18","400","472","0"
"1/5","Szemesi kenyér 750 gr-os ","db","18","142","168","0"
"1/6","Szemesi cipó 0,250 gr","db","18","65","77","0"
"1/7","Rozsos  kenyér 0,50 kg","db","18","140","165","0"
"1/8","Rozsos kenyér 750 gr -os","db","18","180","212","0"
"1/9","Többmagvas kenyér 500gr-os","db","18","185","218","0"
"1/10","Többmagvas zsemle","db","18","75","88","0"
"1/11","Többmagvas kifli","db","18","75","88","0"
"1/12","Nagyi kenyere 2 kg-os?","db","18","400","472","0"
"1/13","Nagyi kenyere 1 kg-os","db","18","210","248","0"
"1/15","Perec","db","18","0","0","0"
"1/16","Szemesi kenyér szeletelt 500 gr-os -forma-","db","18","140","165","0"
"1/17","Szemesi rozsos kenyér 500 gr-os -szeletelt -","db","18","0","0","0"
"1/19","Lángos sós 250  gr-os","db","18","0","0","0"
"1/20","Graham kenyér 500gr-os","db","18","140","165","0"
"1/21","Burgonyás kenyér 1 kg-os","db","18","25","30","0"
"1/22","Szemesi szeletelt kenyér 1 kg- os","db","18","199","235","0"
"1/23","Rozsos magvas kenyér 500 gr-os?","db","18","220","260","0"
"1/24","Rozsos zsemle 10 dkg-os","db","18","25","30","0"
"1/25","Graham kenyér 1 kg -os","db.","18","0","0","0"
"1/27","Morzsa 3 kg-os","db","18","0","0","0"
"1/28","Szemesi cipó 250 g-os kerek","db","18","0","0","0"
"1/29","Bajor rozskenyér 500 gr-os  -szeletelt -?","db","18","162","191","0"
"1/30","Félbarna kenyér 500 gr-os","db","18","0","0","0"
"1/31","Rozsos kenyér 750 gr-os - szeletelt -?","db","18","160","189","0"
"1/32","Szezámmagos kifli 10 dkg-os?","db","18","0","0","0"
"1/33","Graham zsemle 6 dkg-os","db","18","0","0","0"
"1/34","Chiemgauer kenyér 500 gr-os","db","18","0","0","0"
"1/35","Félbarna kenyér 1 kg-os","db","18","166.67","197","0"
"1/37","Szemesi kenyér 500 gr-os - kerek -","db","18","0","0","0"
"1/38","Lángos backon 150 gr","db","18","0","0","0"
"1/39","Lángos szalámis 150 gr","db","18","75","88","0"
"1/40","Parasztkenyér 3 kg-os","db","18","0","0","0"
"1/43","Graham kenyér 1 kg-os szeletelt","db","18","0","0","0"
"1/48","Szemesi kenyér szeletelt 500gr-os","db","18","160","189","0"
"1/50","Szemesi rozskenyér forma 500 gr-os?","db","18","0","0","0"
"1/53","Mini rozsos kifli?","db","18","0","0","0"
"1/54","Szemesi rozsos kenyér (forma) szeletelet 500 gr-os","db","18","0","0","0"
"1/55","Falusi tönkölyös kenyér 500 gr-os","db","18","0","0","0"
"1/56","Vándor kenyér  500 gr-os","db","18","220","260","0"
"1/57","Többmagvas kenyér 500 gr - szeletelt - ?","db","18","0","0","0"
"1/58","Sajtos apró pogácsa 250 gr-os ?","db","18","70.83","84","0"
"1/59","Vágott zsemle","db","18","0","0","0"
"1/61","Graham bagett?","db","18","0","0","0"
"1/62","Burgonyás kenyér 500 gr-os","db","18","115","136","0"
"1/64","Bajor rozskenyér 500 gr","db","18","0","0","0"
"1/65","Rozsos kenyér (forma) 500 gr-os","db","18","0","0","0"
"1/66","Árpás kenyér 300 gr-os?","db","18","0","0","0"
"1/67","Többmagvas rozsos kifli 6 dkg-os?","db","18","0","0","0"
"1/69","Lángos foghagymás 250 gr-os?","db","18","87.5","103","0"
"1/70","Graham kenyér 750 gr -os forma?","db","18","0","0","0"
"1/71","Többmagvas kenyér 500 gr-os szeletelt","db","18","0","0","0"
"1/72","Chiemgauer rozskenyér 500 gr-os -szeletelt-?","db","18","0","0","0"
"1/73","Többmagvas kenyér 750 gr-os?","db","18","0","0","0"
"1/74","Lángos foghagymás 500 gr-os?","db","18","0","0","0"
"1/75","Rozsos kifli 6 dkg-os","db","18","0","0","0"
"1/76","Szemesi kenyér 1 kg-os (szeletelt) - AKCIÓS -?","db","18","0","0","0"
"1/87","Lángos  250 gr-os?","db","18","0","0","0"
"1/88","Lángos - fokhagymás - 250 gr-os?","db","18","0","0","0"
"1/89","Szemesi kenyér 3 kg-os - kerek - ?","db","18","0","0","0"
"1/90","Lángos 1kg-os?","db","18","0","0","0"
"1/91","Lángos 12dkg-os (Fokhagymás)?","db","18","0","0","0"
"1/92","Többmagvas zsemle 6 dkg-os?","db","18","0","0","0"
"1/93","Szemesi fehér kenyér 1 kg-os","db","18","0","0","0"
"1/94","Szezámmagos zsemle 6 dkg-os?","db","18","0","0","0"
"1/95","Rozskenyér- belül magvas- 500 gr-os?","db","18","0","0","0"
"1/96","Rozsos kifli?","db","18","0","0","0"
"1/97","Vándor kenyér 750 gr-os","db","18","0","0","0"
"1/98","Magvas kenyér 500 gr-os -szeletelt-?","db","18","0","0","0"
"1/99","Árpás kenyér ","db","18","0","0","0"
"1/100","Vajas kifli 5 dkg-os","db","18","0","0","0"
"1/101","Nagy sós perec?","db","18","0","0","0"
"1/102","Szemesi kenyér 750 gr -os - szeletelt forma","db","18","0","0","0"
"1/103","Burgonyás kenyér 750 dkg-os?","db","18","0","0","0"
"1/104","Félbarna kenyér 1 kg-os -szeletelt -","db","18","0","0","0"
"1/105","Félbarna kenyér 1 kg-os -szeletelt -","db","18","0","0","0"
"1/106","Vándor kenyér 500 gr-os -szeletelt-?","db","18","0","0","0"
"1/109","Prémium zsemle világos?","db","18","0","0","0"
"1/110 ","Szemesi kenyér 750 gr -os - forma-?","db","18","0","0","0"
"1/111","Kinder mia ","db","18","0","0","0"
"1/112","Pur Pur bagett 250 gr","db","18","0","0","0"
"1/113","Gyökér kenyér 250 gr?","db","18","0","0","0"
"1/114","Falusi Magvas Csavart 250g?","db","18","0","0","0"
"1/115","Vincellér bagett?","db","18","0","0","0"
"1/116","Árpás kocka 5 dkg-os?","db","18","0","0","0"
"1/117","Francia bagett?","db","18","0","0","0"
"1/118","Francia rozsos bagett?","db","18","0","0","0"
"1/119","Falusi magvas cipó 500 gr?","db","18","0","0","0"
"1/120","Falusi cipó 500 gr?","db","18","0","0","0"
"1/121","Falusi Magvas Kenyér 500g ?","db","18","0","0","0"
"1/122","Többmagvas csavart kenyér?","db","18","0","0","0"
"1/123","Szemesi kenyér 1 kg forma -szeletelt -","db","18","0","0","0"
"1/124","Falusi magvas vekni?","db","18","0","0","0"
"1/125","Falusi vekni?","db","18","0","0","0"
"1/126","Francia rozos bagett világos?","db","18","0","0","0"
"1/127","Mamma Mia ?","db","18","0","0","0"
"1/128","Hajdinás kenyér?","db","18","0","0","0"
