"Anyagazon","Anyagnev","ME","Egysegar","Afa","Csomegyseg","EANkod","Anyagcsoport","Kategoria","Besszam","Eltarthatosag","Rendelheto","Vasarolt","Eladasiar","Szallito","Info","Info2","Info3","Info4","Info5","Biztkeszlet","Teljido","UBA","AzonSr"
"7/18","Cortina","kg","393","18","","","0","","","","False","True","0","0","","","","","1","0","0","393","07018"
"7/19","Kakaós bevonómassza","kg","334","18","","","0","","","","False","True","0","0","","","","","1","0","0","334","07019"
"7/21","Felületi magkeverék","kg","470","18","","","0","","","","False","True","0","0","","","","","","0","0","470","07021"
"7/22","Szezámmag","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07022"
"7/23","Mák töltelék","kg","475","18","","","0","","","","False","True","0","0","","","","","","0","0","475","07023"
"7/24","Meggy töltelék","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07024"
"7/25","Kakaó","kg","700","18","","","0","","","","False","True","0","0","","","","","1","0","0","700","07025"
"7/26","Dejó","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07026"
"7/27","Zsír","kg","0","18","","","37","","","","False","True","0","0","","","","","1","0","0","0","07027"
"7/28","Almatöltlék","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07028"
"7/29","Tepertõ","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07029"
"7/30","Vegyesíz","kg","206","18","","","37","","","","False","True","0","0","","","","","","0","0","206","07030"
"7/31","Mandulás krémpor","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07031"
"7/32","Karamell krémpor","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07032"
"7/33","Fahéjas krémpor","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07033"
"7/34","Dekorsó","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07034"
"7/35","Porcukor","kg","206","18","","","0","","","","False","True","0","0","","","","","","0","0","206","07035"
"7/36","Étolaj","liter","172","18","","","0","","","","False","True","0","0","","","","","","0","0","172","07036"
"7/38","Mandula","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07038"
"7/39","Bors","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07039"
"7/40","Túró","kg","720","18","","","0","","","","False","True","0","0","","","","","","0","0","720","07040"
"7/41","Kalap papír","kg","1459","18","","","0","","","","False","True","0","0","","","","","1","0","0","1459","07041"
"7/42","Sajt","kg","692","18","","","0","","","","False","True","0","0","","","","","","0","0","692","07042"
"7/43","mi ez","kg","181","18","","","0","","","","True","True","0","0","","","","","1","0","0","181","07043"
"7/44","Sütõmargarin","kg","183","18","","","0","","","","False","True","0","0","","","","","1","0","0","183","07044"
"7/45","Leveles margarin","kg","193","18","","","0","","","","False","True","0","0","","","","","1","0","0","193","07045"
"7/46","Répa","kg","0","18","","","0","","","","False","True","0","0","","","","","","0","0","0","07046"
"7/47","Víz","liter","0","18","0","","37","","","","False","True","0","0","","","","","","0","0","0","07047"
