"Anyagazon","Anyagar","Artipusazon"
"5/169","90","18"
"5/171","120","18"
"3/9","75","18"
"5/63","98","1"
"5/64","0","1"
"5/43","98","1"
"1/1","205","16"
"1/1","179","17"
"1/2","98","17"
"1/3","358","17"
"1/5","142","17"
"1/6","65","17"
"1/7","155","16"
"1/7","140","17"
"1/8","180","17"
"1/1","160","18"
"1/2","140","18"
"1/6","75","18"
"1/7","120","18"
"1/9","205","18"
"1/9","205","16"
"1/9","185","17"
"1/10","70","16"
"1/10","75","17"
"1/10","70","18"
"1/11","70","16"
"1/11","75","17"
"1/11","70","18"
"1/16","145","16"
"1/16","160","17"
"1/16","155","18"
"1/20","140","17"
"1/21","25","17"
"1/22","199","17"
"1/22","180","18"
"1/23","220","17"
"1/24","25","17"
"1/29","162","17"
"1/31","158.3333","18"
"1/35","210","18"
"1/39","75","17"
"1/47","60","17"
"1/47","84.74","18"
"1/48","140","18"
"1/48","160","17"
"1/58","0","18"
"2/1","15","16"
"2/1","15","17"
"2/1","15","18"
"2/2","15","16"
"2/2","16","17"
"2/2","15","18"
"2/3","45","17"
"2/4","45","17"
"2/4","60","18"
"2/6","60","17"
"2/6","0","18"
"2/7","40","17"
"2/8","140","17"
"2/10","55","17"
"2/10","54.16667","18"
"2/15","50","17"
"2/15","58.34","18"
"2/16","60","17"
"2/16","65","18"
"2/17","60","17"
"2/17","65","18"
"2/18","65","17"
"2/18","79","18"
"2/22","60","17"
"2/22","84.75","18"
"2/23","60","17"
"2/23","84.75","18"
"3/1","175","18"
"3/1","150","17"
"3/2","290","17"
"3/2","340","18"
"3/3","100","17"
"3/4","46","17"
"3/5","90","17"
"3/7","290","17"
"3/7","340","18"
"3/8","580","17"
"3/8","680","16"
"3/8","680","18"
"3/18","80","17"
"4/1","80","17"
"4/5","80","17"
"4/5","100","18"
"4/6","60","17"
"4/6","100","18"
"5/1","98","16"
"5/1","90","17"
"5/1","98","18"
"5/2","105","16"
"5/2","98","17"
"5/2","105","18"
"5/3","95","16"
"5/3","90","17"
"5/3","85","18"
