"Szulo","Gyermek","Datumtol","Datumig","Mennyiseg","X"
"3/3","7/5","2000-01-01 00:00:00","2099-12-31 00:00:00","0.00037","False"
"3/3","7/25","2000-01-01 00:00:00","2099-12-31 00:00:00","0.00293","False"
"3/3","7/27","2000-01-01 00:00:00","2099-12-31 00:00:00","0.00147","False"
"3/3","7/6","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0375","False"
"3/3","7/13","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0002","False"
"4/2","7/2","2000-01-01 00:00:00","2099-12-31 00:00:00","0.06924","False"
"4/2","7/43","2000-01-01 00:00:00","2099-12-31 00:00:00","0.00692","False"
"4/2","7/15","2000-01-01 00:00:00","2099-12-31 00:00:00","0.00138","False"
"4/2","7/29","2000-01-01 00:00:00","2099-12-31 00:00:00","0.01384","False"
"4/2","7/6","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0366","False"
"4/2","7/13","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0002","False"
"3/3","7/19","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0105","False"
"4/1","7/2","2000-01-01 00:00:00","2099-12-31 00:00:00","0.059","False"
"4/1","7/43","2000-01-01 00:00:00","2099-12-31 00:00:00","0.002","False"
"4/1","7/16","2000-01-01 00:00:00","2099-12-31 00:00:00","0.026","False"
"4/1","7/6","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0195","False"
"4/1","7/13","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0118","False"
"4/1","7/42","2000-01-01 00:00:00","2099-12-31 00:00:00","0.011","False"
"5/1","7/15","2000-01-01 00:00:00","2099-12-31 00:00:00","0.026","False"
"5/12","7/2","2000-01-01 00:00:00","2099-12-31 00:00:00","0.052","False"
"5/12","7/43","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0021","False"
"5/12","7/15","2000-01-01 00:00:00","2099-12-31 00:00:00","0.00074","False"
"5/12","7/16","2000-01-01 00:00:00","2099-12-31 00:00:00","0.00303","False"
"5/12","7/45","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0197","False"
"5/12","7/6","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0299","False"
"5/12","7/19","2000-01-01 00:00:00","2099-12-31 00:00:00","0.02625","False"
"5/18","7/2","2000-01-01 00:00:00","2099-12-31 00:00:00","0.03475","False"
"5/18","7/49","2000-01-01 00:00:00","2099-12-31 00:00:00","0.00104","False"
"5/18","7/15","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0007","False"
"5/18","7/56","2000-01-01 00:00:00","2099-12-31 00:00:00","0.00035","False"
"5/18","7/51","2000-01-01 00:00:00","2099-12-31 00:00:00","0.00017","False"
"5/18","7/6","2000-01-01 00:00:00","2099-12-31 00:00:00","0.04738","False"
"5/18","7/44","2000-01-01 00:00:00","2099-12-31 00:00:00","0.01911","False"
"5/18","7/52","2000-01-01 00:00:00","2099-12-31 00:00:00","0.012","False"
"5/18","7/35","2000-01-01 00:00:00","2099-12-31 00:00:00","0.002","False"
"5/4","7/2","2000-01-01 00:00:00","2099-12-31 00:00:00","0.052","False"
"5/4","7/43","2000-01-01 00:00:00","2099-12-31 00:00:00","0.0021","False"
"5/4","7/15","2000-01-01 00:00:00","2099-12-31 00:00:00","0.00066","False"
