"Beerkazon","Szamlaszam","Szallito","Datum"
"1","gggg","1","2005-08-07 00:00:00"
"2","601000118/0222/00005","18","2006-01-12 00:00:00"
"3","52630/2005","2","2006-01-16 00:00:00"
"4","1310840","21","2006-04-03 00:00:00"
"5","001","2","2006-03-29 00:00:00"
"6","002","5","2006-03-29 00:00:00"
"7","002","1","2006-03-29 00:00:00"
"8","43410/2006","2","2006-04-06 00:00:00"
"9","223","5","2006-04-06 00:00:00"
"10","04128","1","2006-04-18 00:00:00"
"11","001006","3","2007-04-04 00:00:00"
"12","3137/2007","10","2007-04-13 00:00:00"
"13","00000","22","2007-04-16 00:00:00"
"14","318066","5","2007-04-27 00:00:00"
"15","001011","3","2007-04-27 00:00:00"
"16","04063","1","2007-04-27 00:00:00"
"17","0000","26","2007-04-27 00:00:00"
"18","0000","11","2007-04-04 00:00:00"
"19","0798254","5","2007-04-04 00:00:00"
"20","318107","5","2007-04-25 00:00:00"
"21","05081","1","2007-04-24 00:00:00"
"22","0000","26","2007-04-23 00:00:00"
"23","0000","27","2007-04-27 00:00:00"
"24","00000","25","2007-04-23 00:00:00"
"25","00000","25","2007-04-27 00:00:00"
"26","00000","25","2007-04-26 00:00:00"
"27","0000","14","2007-04-26 00:00:00"
"28","04421","1","2007-04-18 00:00:00"
"29","0000","5","2007-04-18 00:00:00"
"30","0000","7","2007-04-18 00:00:00"
"31","00","14","2007-04-18 00:00:00"
"32","00","14","2007-04-27 00:00:00"
"33","0","15","2007-04-27 00:00:00"
"34","0000","25","2007-04-25 00:00:00"
"35","0000","25","2007-04-17 00:00:00"
"36","86786","25","2008-02-12 00:00:00"
