"Sorszam","Megnevezes","AfaKulcs","ME","Mennyiseg","EgysegAr","Ertek","Azon","BrErtek"
"1","Szemesi kenyér 1 kg-os","18","db","30","158,34","4750,2","0","5605,24"
"2","Szemesi cipó 0,250 gr","18","db","5","58","290","0","342,2"
"3","Rozsos  kenyér 0,50 kg","18","db","5","0","0","0","0"
"4","Nagyi kenyere 1 kg-os","18","db","3","0","0","0","0"
"5","Szeletelt kenyér (forma)  500gr-os","18","db","15","160","2400","0","2832"
"6","Szemesi szeletelt kenyér 1 kg- os","18","db","20","175","3500","0","4130"
"7","Chiemgauer kenyér","18","db","5","0","0","0","0"
"8","Graham kenyér - forma-","18","db","2","0","0","0","0"
"9","Szemesi rozsos kenyér (forma) szeletelet 500 gr","18","db","6","0","0","0","0"
"10","Graham bagett","18","db","5","0","0","0","0"
"11","Zsemle","18","db","350","11,67","4084,5","0","4819,71"
"12","Kifli","18","db","120","11,67","1400,4","0","1652,47"
"13","Sós nagykifli","18","db","5","0","0","0","0"
"14","Rozsos kifli (egyenes)","18","db","5","0","0","0","0"
"15","Bagett (5 dkg-os)","18","db","50","0","0","0","0"
"16","Bagett - sajtos -","18","db","15","0","0","0","0"
"17","Bagett -rozsos -","18","db","5","0","0","0","0"
"18","Bagett","18","db","30","0","0","0","0"
"19","Szezámmagos zsemle","18","db","6","0","0","0","0"
"20","Fonott kalács 0,250 gr","18","db","5","0","0","0","0"
"21","Kakaós kuglóf 0,50kg","18","db","3","0","0","0","0"
"22","Briós","18","db","2","0","0","0","0"
"23","Foszlós kalács 1 kg -os","18","db","1","0","0","0","0"
"24","Kakaós kuglóf 1000 gr-os","18","db","2","0","0","0","0"
"25","Leveles túrós","18","db","2","0","0","0","0"
"26","Meggyes búrkifli","18","db","1","85","85","0","100,3"
"27","Kakaós csiga","18","db","5","0","0","0","0"
"28","Búr kifli mákos","18","db","1","0","0","0","0"
"29","Kakaós kifli (sodrott)","18","db","2","0","0","0","0"
"30","Pundingos meggyes csiga","18","db","1","0","0","0","0"
"31","Pudingos croassan","18","db","2","0","0","0","0"
"32","Csokis vaniliás csiga","18","db","2","0","0","0","0"
"33","Csokis croassan","-1","db","2","0","0","0","0"
