"Gyartasazon","Datum","AgOK","KtOK"
"2","2005-08-08 00:00:00","False","True"
"3","2005-11-28 00:00:00","False","False"
"4","2005-11-28 00:00:00","False","False"
"5","2006-02-25 00:00:00","False","False"
"6","2006-02-26 00:00:00","False","False"
"7","2006-03-18 00:00:00","False","False"
"10","2008-06-18 00:00:00","False","False"
"11","2008-06-18 00:00:00","False","False"
"12","2016-11-04 00:00:00","False","False"
"13","2016-11-09 00:00:00","False","False"
"14","2019-07-22 00:00:00","False","False"
"15","2019-07-22 00:00:00","False","False"
"16","2019-07-21 00:00:00","False","False"
"17","2023-05-29 00:00:00","False","False"
"18","2023-05-30 00:00:00","False","False"
"19","2023-07-01 00:00:00","False","False"
"20","2023-07-01 00:00:00","False","False"
"21","2023-07-01 00:00:00","False","False"
"22","2023-07-01 00:00:00","False","False"
"23","2023-07-01 00:00:00","False","False"
"24","2023-06-21 00:00:00","False","False"
"25","2023-07-08 00:00:00","False","False"
"26","2023-07-05 00:00:00","False","False"
"27","2023-07-05 00:00:00","False","False"
"28","2023-07-14 00:00:00","False","False"
"29","2023-07-13 00:00:00","False","False"
"30","2023-07-07 00:00:00","False","False"
"31","2023-07-08 00:00:00","False","False"
"32","2023-07-09 00:00:00","False","False"
"33","2023-07-10 00:00:00","False","False"
"34","2023-07-11 00:00:00","False","False"
"35","2023-07-12 00:00:00","False","False"
"36","2023-07-13 00:00:00","False","False"
"37","2023-07-14 00:00:00","False","False"
"38","2023-08-13 00:00:00","False","False"
"39","2023-11-11 00:00:00","False","False"
"40","2023-11-11 00:00:00","False","False"
"41","2023-11-10 00:00:00","False","False"
"42","2023-11-10 00:00:00","False","False"
"43","2023-11-09 00:00:00","False","False"
"44","2023-11-26 00:00:00","False","False"
"45","2023-11-26 00:00:00","False","False"
"46","2023-11-26 00:00:00","False","False"
"47","2023-11-26 00:00:00","False","False"
"48","2023-12-05 00:00:00","False","False"
"49","2023-12-06 00:00:00","False","False"
"50","2024-07-07 00:00:00","False","False"
"51","2024-08-16 00:00:00","False","False"
"52","2024-08-16 00:00:00","False","False"
"53","2024-08-16 00:00:00","False","False"
"54","2025-07-15 00:00:00","False","False"
"55","2025-07-15 00:00:00","False","False"
"56","2025-08-12 00:00:00","False","False"
"57","2025-08-12 00:00:00","False","False"
"58","2025-08-12 00:00:00","False","False"
"59","2025-08-12 00:00:00","False","False"
"60","2025-08-19 00:00:00","False","False"
