"Gyartasazon","Anyagazon","Mennyiseg"
"2","1/1","45"
"2","1/2","15"
"3","1/1","267"
"3","1/10","32"
"3","1/11","2"
"3","1/14","9"
"3","1/15","19"
"3","1/17","10"
"3","1/19","5"
"3","1/2","180"
"3","1/20","7"
"3","1/21","29"
"3","1/3","4"
"3","1/4","2"
"3","1/5","69"
"3","1/6","72"
"3","1/7","18"
"3","1/8","3"
"3","1/9","4"
"3","2/1","1695"
"3","2/2","1310"
"3","2/3","15"
"3","2/6","38"
"3","2/7","5"
"3","3/1","15"
"3","3/2","6"
"3","3/3","4"
"3","3/4","5"
"3","3/5","36"
"3","4/1","52"
"3","4/2","24"
"3","5/1","42"
"3","5/12","37"
"3","5/14","20"
"3","5/18","38"
"3","5/2","83"
"3","5/3","4"
"3","5/4","26"
"3","5/5","21"
"3","5/6","14"
"3","5/8","90"
"4","1/1","267"
"4","1/10","32"
"4","1/11","2"
"4","1/14","9"
"4","1/15","19"
"4","1/17","10"
"4","1/19","5"
"4","1/2","180"
"4","1/20","7"
"4","1/21","29"
"4","1/3","4"
"4","1/4","2"
"4","1/5","69"
"4","1/6","72"
"4","1/7","18"
"4","1/8","3"
"4","1/9","4"
"4","2/1","1695"
"4","2/2","1310"
"4","2/3","15"
"4","2/6","38"
"4","2/7","5"
"4","3/1","15"
"4","3/2","6"
"4","3/3","4"
"4","3/4","5"
"4","3/5","36"
"4","4/1","52"
"4","4/2","24"
"4","5/1","42"
"4","5/12","37"
"4","5/14","20"
"4","5/18","38"
"4","5/2","83"
"4","5/3","4"
"4","5/4","26"
"4","5/5","21"
"4","5/6","14"
"4","5/8","90"
"5","1/1","411"
"5","1/10","28"
"5","1/11","3"
"5","1/14","4"
"5","1/15","3"
"5","1/16","2"
"5","1/17","5"
"5","1/19","3"
"5","1/2","128"
"5","1/20","11"
"5","1/21","31"
"5","1/3","7"
"5","1/5","73"
"5","1/6","62"
"5","1/7","16"
"5","1/8","6"
"5","1/9","4"
"5","2/1","2199"
"5","2/10","15"
"5","2/2","1518"
