"Kategoriaazon","Kategorianev","Selejtev"
"1","Ingatlan-nyilvántartás, -kezelés, -fenntartás, épülettervrajzok, helyszínrajzok, használatbavételi engedélyek","0"
"2","Intézménylétesítés, átszervezés, fejlesztés","0"
"3","Iktatókönyvek, iratselejtezési jegyzõkönyvek","0"
"4","Személyzeti, bér- és munkaügy","50"
"5","Munkavédelem, tûzvédelem, balesetvédelem, baleseti jegyzõkönyvek","10"
"7","Szakmai ellenõrzés","10"
"8","Megállapodások, bírósági, államigazgatási ügyek","10"
"9","Belsõ szabályzatok","10"
"10","Polgári védelem","10"
"11","Munkatervek, jelentések, statisztikák","5"
"12","Panaszügyek","5"
"13","Szolgáltatások igénybevételével összefüggõ nyilvántartások, bevételek","3"
"14","Szakértõi vélemény, szakvélemény","25"
"15","Értékelési lap","10"
"16","Szakértõi vélemény, szakvélemény elkészíttetésével összefüggõ ügyek","5"
"19","Naplók","5"
"20","Nyilvántartási lapok, jegyzõkönyvek","5"
"21","Ítéletek","25"
