"Azonosito","Szamlaszam","Datum","Kiallito","Leiras","Netto","AFA","Brutto","Kategoria","Ktghely"
"1"," ","2005-08-07 00:00:00","E-ON","Villanyszámla 2005.07. hó","65804","25","82255","1/2","Pékség"
"2"," ","2005-08-07 00:00:00","T-com","Telefon számla","9199","25","11498.75","1/4","Pékség"
"3"," ","2005-08-07 00:00:00","DRV","Víz számla","28126","15","32344.9","1/3","Pékség"
"4","2005/21","2006-03-28 00:00:00","Zöldfok rt."," ","4280","15","4922","1/5","Pékség"
"5"," ","2006-03-28 00:00:00","T-mobile"," ","36825","20","44190","1/6","Pékség"
"6"," ","2006-03-28 00:00:00","T-com"," ","9488","20","11385.6","1/4","Pékség"
"7"," ","2006-03-28 00:00:00","Euroweb","2.hó","11912","20","14294.4","1/9","Pékség"
"8"," ","2006-03-28 00:00:00","t-mobile","2006,02,28","2152","20","2582.4","1/6","Pékség"
"9"," ","2006-03-28 00:00:00","Allianz","Dina casco 2006.0,3.01-2006.06.01","0","0","48342","1/8","Pékség"
"10"," ","2006-03-28 00:00:00","Gáz","2006.03.08.","85725","15","98583.75","1/1","Pékség"
"11"," ","2006-03-28 00:00:00","Euroweb","2006.03.16.","11912","20","14294.4","1/9","Pékség"
"12"," ","2006-03-28 00:00:00","Eon","2006.01.30.","1235","15","1420.25","1/2","Pékség"
"13"," ","2006-03-28 00:00:00","Eon","2006.03.16","51313","20","61575.6","1/2","Pékség"
"14"," ","2006-03-28 00:00:00","Drv","2006.01.16.","14688","15","16891.2","1/3","Pékség"
"15"," ","2006-03-28 00:00:00","Drv","2006.01.16","410","20","492","1/3","Pékség"
"16"," ","2006-03-28 00:00:00","Drv","2006.02.15.","418","20","501.6","1/3","Pékség"
"17","6362829 ","2006-05-09 00:00:00","t-mobil","2006.04.19.","37575","20","45090","1/6","Pékség"
"18","6362829","2006-05-09 00:00:00","t-mobik","2006.03.31","32869","20","39442.8","1/6","Pékség"
"20"," ","2007-04-27 00:00:00","Kögáz","2007,02,19,","142722","20","171266.4","1/1","Pékség"
"21","12520003121","2007-04-10 00:00:00","T-Com","Befizetés:2007,04,10,","40294.16","20","48352.99","1/6","Pékség"
"22","00000","2007-04-27 00:00:00","Mol","Üzemanyag","20000","20","25000","1/8","Pékség"
"23","0000","2007-04-27 00:00:00","Mol"," ","22500","20","27000","1/8","Pékség"
"24","0000","2007-04-27 00:00:00","Mol"," ","8333","20","9999.6","1/8","Pékség"
"25","000","2007-04-27 00:00:00","Mol"," ","23500","20","28200","1/8","Pékség"
"26","00","2007-04-27 00:00:00","Mol"," ","25000","20","30000","1/8","Pékség"
"27","0","2007-04-27 00:00:00","Mol"," ","8333","20","9999.6","1/8","Pékség"
