"Anyagazon","Anyagnev","sm","ME"
"1/1","Szemesi kenyér 1 kg-os","-10","db"
"1/2","Szemesi  kenyér 500 gr-os","0","db"
"5/56","Házi rétes meggyes?","9.313226E-10","db."
"7/1","Élesztõ","3.290176E-05","kg"
"7/10","Kozomaxx","1.043081E-07","kg"
"7/11","Vamiliás cukor","-5.51343E-07","kg"
"7/13","Tojáspor","-1.536682E-08","kg"
"7/15","Só","1.214445E-06","kg"
"7/16","Cukor","-1.013279E-06","kg"
"7/19","Kakaós bevonómassza","1.490116E-08","kg"
"7/2","Aktipán Plus","9.894371E-05","kg"
"7/21","Felületi magkeverék","-6.705523E-08","kg"
"7/22","Szezámmag","3.72529E-09","kg"
"7/23","Mák töltelék","-2.980232E-08","kg"
"7/24","Meggy töltelék","-5.960464E-08","kg"
"7/25","Kakaó","-4.470348E-08","kg"
"7/27","Zsír","-3.72529E-09","kg"
"7/29","Tepertõ","5.960464E-08","kg"
"7/3","Kornino Mix","0","kg"
"7/30","Vegyesíz","-6.519258E-08","kg"
"7/34","Dekorsó","0","kg"
"7/35","Porcukor","2.04891E-08","kg"
"7/36","Étolaj","-4.097819E-08","liter"
"7/4","v","-1.937151E-07","kg"
"7/40","Túró","-4.172325E-07","kg"
"7/41","Pizzaszósz","0","kg"
"7/42","Sajt","-8.940697E-08","kg"
"7/43","mi ez","-6.005168E-06","kg"
"7/44","Sütõmargarin","-9.23872E-07","kg"
"7/45","Leveles margarin","-4.172325E-07","kg"
"7/47","Víz","-1.072884E-06","liter"
"7/48","Graham liszt","1.370907E-06","kg"
"7/49","Wiener Note","-5.587935E-09","kg"
"7/5","v","1.173466E-07","kg"
"7/50","Folyékony kovász","-9.313226E-10","kg"
"7/51","Morzsa 500 gr-os","4.656613E-10","db."
"7/52","Hideg krémpor vaniliás","-2.980232E-08","kg"
"7/54","Kaisermeister","-3.72529E-09","kg"
"7/56","Ecet","0","liter"
"7/57","Zea Soft","1.452863E-07","kg"
"7/58","Morzsa","2.980232E-08","kg"
"7/6","v","-7.021427E-05","liter"
"7/60","Köménymag","0","kg"
"7/8","v","-6.705523E-08","kg"
