"Number","Text","Remarks"
"01","Névjegyalbum","A termelõ cég és a vele kapcsolatban álló partnerek és cégek adatai"
"0101","Saját adatok",""
"0102","Szállítók",""
"0103","Vevõk",""
"0104","Partnerek",""
"0105","Munkatársak",""
"02","Beszerzés","Alapanyagok, kereskedelmi anyagok beszerzése."
"0201","Bevételezés",""
"0202","Gyártási terv",""
"0203","Lehívások",""
"0204","Beszerzési adatok",""
"0205","Költségszámlák",""
"03","Kiszállítás","Készáruk, illetve kereskedelmi áruk nagykereskedelmi eladása."
"0301","Megrendelések kezelése",""
"0302","Vevõi megrendelés lista",""
"0303","Rendelés összegzés",""
"0304","Kiszállítás",""
"0305","Szállítólevél nyomtatás",""
"0306","Pénzügyi elszámolás",""
"0307","Szállítólevél visszaigazolás",""
"04","Kiskereskedelem","Kiskereskedelem intézése."
"0401","Kisker eladás",""
"0402","Elszámolások listája",""
"0403","Pénzügyi adatok",""
"0404","Kisker raktárkészlet",""
"05","Gyártás","Gyártási folyamat anyag- és munkaigényének nyilvántartása."
"0501","Anyagkivételi lista",""
"0502","Plusz anyag felhasználás",""
"0503","Anyag visszavét",""
"0504","Készre jelentés",""
"06","Raktár","A cég különbözõ raktáraival kapcsolatos mûveletek."
"0601","Raktár transzfer",""
"0602","Leltárív készítés",""
"0603","Raktárkészlet korrekció",""
"0604","Selejtezés",""
"0605","Anyagmozgások",""
"07","Számlázás","Számlák készítése, nyomtatása, storno számla"
"0701","Számlakészítés",""
"0702","Számlamásolat",""
"0703","Storno számla",""
"0704","Számla kiegyenlítés",""
"0705","Számla lekérdezés",""
"0706","Kézi számlázás adatai",""
"0707","Nyugta lekérdezés",""
"0708","Nyugtával elszámolt áruk",""
"0709","Számlával elszámolt áruk",""
"08","Anyagok és termékek","A termelõ, kereskedelmi és/vagy szolgáltató egység által használt anyagok és gyártott termékek alapadatai"
"0801","Anyag törzsadatok",""
"0802","Anyagcsoportok",""
"0803","Anyagcsoportosítás",""
"0804","Anyagjegyzék felvitel",""
"0805","Anyagjegyzék lista",""
"0806","Szállítási paraméterek",""
"09","Szolgáltatások","A termelõ, kereskedelmi és/vagy szolgáltató egység által végzett szolgáltatások és alapadataik"
"0901","Szolgáltatás adatok",""
"0902","Szolgáltatás csoportok",""
"0903","Szolgáltatás csoportosítás",""
"0904","Munkalapok",""
"10","Vezetõi információk","Az intézmény vezetõk munkáját segítõ információk és nyilvántartások különálló modulja."
"1001","Munkaidõ nyilvántartás",""
"1002","Határidõnapló",""
"1003","Feladatok",""
"1004","Állóeszköz leltár",""
"1005","Irattár",""
"1006","Szakkönyvtár",""
"1007","Vezetõi lekérdezések",""
"11","Analitika",""
"1101","Ügyviteli analízis",""
"1102","Eredményesség számítás",""
"12","Rendszeradatok","A program megfelelõ mûködéséhez szükséges, egyéb menüpontba nem sorolható alapadatok, biztonsági mentés és adat-visszaállítás."
"1201","Raktárak",""
"1202","Bizonylat beállítások",""
"1203","Rendelés típusok",""
"1204","Leltár beállítások",""
"1205","Irattár jellemzõk",""
"1206","Biztonsági mentés",""
"1207","Adat-visszaállítás",""
"1208","Ártípusok",""
"1209","Holléttípusok",""
"1210","ÁFA kulcsok",""
"1211","Elszámolási kategóriák",""
