"Ev","Honap","Nap","Munkatarsazon","Htipusazon","Datum"
"2003","9","20","1","2","2003-09-20 00:00:00"
"2003","9","20","2","2","2003-09-20 00:00:00"
"2003","9","27","0","2","2003-09-27 00:00:00"
"2003","9","27","1","2","2003-09-27 00:00:00"
"2003","9","27","2","2","2003-09-27 00:00:00"
"2003","10","4","0","2","2003-10-04 00:00:00"
"2003","10","4","1","2","2003-10-04 00:00:00"
"2003","10","4","2","2","2003-10-04 00:00:00"
"2003","10","11","0","2","2003-10-11 00:00:00"
"2003","10","11","1","2","2003-10-11 00:00:00"
"2003","10","11","2","2","2003-10-11 00:00:00"
"2003","10","18","0","2","2003-10-18 00:00:00"
"2003","10","18","1","2","2003-10-18 00:00:00"
"2003","10","18","2","2","2003-10-18 00:00:00"
"2003","10","25","0","2","2003-10-25 00:00:00"
"2003","10","25","1","2","2003-10-25 00:00:00"
"2003","10","25","2","2","2003-10-25 00:00:00"
"2003","11","1","0","6","2003-11-01 00:00:00"
"2003","11","1","1","6","2003-11-01 00:00:00"
"2003","11","1","2","6","2003-11-01 00:00:00"
"2003","11","8","0","2","2003-11-08 00:00:00"
"2003","11","8","1","2","2003-11-08 00:00:00"
"2003","11","8","2","2","2003-11-08 00:00:00"
"2003","11","15","0","2","2003-11-15 00:00:00"
"2003","11","15","1","2","2003-11-15 00:00:00"
"2003","11","15","2","2","2003-11-15 00:00:00"
"2003","11","22","0","2","2003-11-22 00:00:00"
"2003","11","22","1","2","2003-11-22 00:00:00"
"2003","11","22","2","2","2003-11-22 00:00:00"
"2003","11","29","0","2","2003-11-29 00:00:00"
"2003","11","29","1","2","2003-11-29 00:00:00"
"2003","11","29","2","2","2003-11-29 00:00:00"
"2003","12","6","0","2","2003-12-06 00:00:00"
"2003","12","6","1","2","2003-12-06 00:00:00"
"2003","12","6","2","2","2003-12-06 00:00:00"
"2003","12","13","0","2","2003-12-13 00:00:00"
"2003","12","13","1","2","2003-12-13 00:00:00"
"2003","12","13","2","2","2003-12-13 00:00:00"
"2003","12","20","0","2","2003-12-20 00:00:00"
"2003","12","20","1","2","2003-12-20 00:00:00"
"2003","12","20","2","2","2003-12-20 00:00:00"
"2003","12","27","0","2","2003-12-27 00:00:00"
"2003","12","27","1","2","2003-12-27 00:00:00"
"2003","12","27","2","2","2003-12-27 00:00:00"
"2003","1","5","0","3","2003-01-05 00:00:00"
"2003","1","5","1","3","2003-01-05 00:00:00"
"2003","1","5","2","3","2003-01-05 00:00:00"
"2003","1","12","0","3","2003-01-12 00:00:00"
"2003","1","12","1","3","2003-01-12 00:00:00"
"2003","1","12","2","3","2003-01-12 00:00:00"
"2003","1","19","0","3","2003-01-19 00:00:00"
"2003","1","19","1","3","2003-01-19 00:00:00"
"2003","1","19","2","3","2003-01-19 00:00:00"
"2003","1","26","0","3","2003-01-26 00:00:00"
"2003","1","26","1","3","2003-01-26 00:00:00"
"2003","1","26","2","3","2003-01-26 00:00:00"
"2003","2","2","0","3","2003-02-02 00:00:00"
"2003","2","2","1","3","2003-02-02 00:00:00"
"2003","2","2","2","3","2003-02-02 00:00:00"
"2003","2","9","0","3","2003-02-09 00:00:00"
"2003","2","9","1","3","2003-02-09 00:00:00"
"2003","2","9","2","3","2003-02-09 00:00:00"
"2003","2","16","0","3","2003-02-16 00:00:00"
"2003","2","16","1","3","2003-02-16 00:00:00"
"2003","2","16","2","3","2003-02-16 00:00:00"
"2003","2","23","0","3","2003-02-23 00:00:00"
"2003","2","23","1","3","2003-02-23 00:00:00"
"2003","2","23","2","3","2003-02-23 00:00:00"
"2003","3","2","0","3","2003-03-02 00:00:00"
"2003","3","2","1","3","2003-03-02 00:00:00"
"2003","3","2","2","3","2003-03-02 00:00:00"
"2003","3","9","0","3","2003-03-09 00:00:00"
"2003","3","9","1","3","2003-03-09 00:00:00"
"2003","3","9","2","3","2003-03-09 00:00:00"
"2003","3","16","0","3","2003-03-16 00:00:00"
"2003","3","16","1","3","2003-03-16 00:00:00"
"2003","3","16","2","3","2003-03-16 00:00:00"
"2003","3","23","0","3","2003-03-23 00:00:00"
"2003","3","23","1","3","2003-03-23 00:00:00"
"2003","3","23","2","3","2003-03-23 00:00:00"
"2003","3","30","0","3","2003-03-30 00:00:00"
"2003","3","30","1","3","2003-03-30 00:00:00"
"2003","3","30","2","3","2003-03-30 00:00:00"
"2003","4","6","0","3","2003-04-06 00:00:00"
"2003","4","6","1","3","2003-04-06 00:00:00"
"2003","4","6","2","3","2003-04-06 00:00:00"
"2003","4","13","0","3","2003-04-13 00:00:00"
"2003","4","13","1","3","2003-04-13 00:00:00"
"2003","4","13","2","3","2003-04-13 00:00:00"
"2003","4","20","0","3","2003-04-20 00:00:00"
"2003","4","20","1","3","2003-04-20 00:00:00"
"2003","4","20","2","3","2003-04-20 00:00:00"
"2003","4","27","0","3","2003-04-27 00:00:00"
"2003","4","27","1","3","2003-04-27 00:00:00"
"2003","4","27","2","3","2003-04-27 00:00:00"
"2003","5","4","0","3","2003-05-04 00:00:00"
"2003","5","4","1","3","2003-05-04 00:00:00"
"2003","5","4","2","3","2003-05-04 00:00:00"
"2003","5","11","0","3","2003-05-11 00:00:00"
"2003","5","11","1","3","2003-05-11 00:00:00"
