"Raktarazon","Anyagazon","Mennyiseg","Beszar","Tetelszam","Beerkazon","Tipus","Datum"
"2","1/1","-299","0","103948","-1","7","2017-01-09 00:00:00"
"2","1/10","-65","0","103949","-1","7","2017-01-09 00:00:00"
"2","1/100","-3065","0","103950","-1","7","2017-01-09 00:00:00"
"2","1/104","-82","0","103951","-1","7","2017-01-09 00:00:00"
"2","1/11","-10","0","103952","-1","7","2017-01-09 00:00:00"
"2","1/112","-30","0","103953","-1","7","2017-01-09 00:00:00"
"2","1/13","-5","0","103954","-1","7","2017-01-09 00:00:00"
"2","1/132","-15","0","103955","-1","7","2017-01-09 00:00:00"
"2","1/136","-38","0","103956","-1","7","2017-01-09 00:00:00"
"2","1/139","-5","0","103957","-1","7","2017-01-09 00:00:00"
"2","1/16","-48","0","103958","-1","7","2017-01-09 00:00:00"
"2","1/2","-176","0","103959","-1","7","2017-01-09 00:00:00"
"2","1/20","-24","0","103960","-1","7","2017-01-09 00:00:00"
"2","1/22","-222","0","103961","-1","7","2017-01-09 00:00:00"
"2","1/24","-10","0","103962","-1","7","2017-01-09 00:00:00"
"2","1/3","-5","0","103963","-1","7","2017-01-09 00:00:00"
"2","1/30","-5","0","103964","-1","7","2017-01-09 00:00:00"
"2","1/34","-34","0","103965","-1","7","2017-01-09 00:00:00"
"2","1/48","-123","0","103966","-1","7","2017-01-09 00:00:00"
"2","1/54","-12","0","103967","-1","7","2017-01-09 00:00:00"
"2","1/55","-5","0","103968","-1","7","2017-01-09 00:00:00"
"2","1/56","-60","0","103969","-1","7","2017-01-09 00:00:00"
"2","1/59","-30","0","103970","-1","7","2017-01-09 00:00:00"
"2","1/6","-20","0","103971","-1","7","2017-01-09 00:00:00"
"2","1/62","-5","0","103972","-1","7","2017-01-09 00:00:00"
"2","1/64","-1","0","103973","-1","7","2017-01-09 00:00:00"
"2","1/7","-21","0","103974","-1","7","2017-01-09 00:00:00"
"2","1/71","-13","0","103975","-1","7","2017-01-09 00:00:00"
"2","1/75","-270","0","103976","-1","7","2017-01-09 00:00:00"
"2","1/93","-28","0","103977","-1","7","2017-01-09 00:00:00"
"2","1/97","-109","0","103978","-1","7","2017-01-09 00:00:00"
"2","1/99","-33","0","103979","-1","7","2017-01-09 00:00:00"
"2","2/1","-4610","0","103980","-1","7","2017-01-09 00:00:00"
"2","2/16","-35","0","103981","-1","7","2017-01-09 00:00:00"
"2","2/18","-60","0","103982","-1","7","2017-01-09 00:00:00"
"2","2/2","-1634","0","103983","-1","7","2017-01-09 00:00:00"
"2","2/20","-30","0","103984","-1","7","2017-01-09 00:00:00"
"2","2/4","-116","0","103985","-1","7","2017-01-09 00:00:00"
"2","2/44","-36","0","103986","-1","7","2017-01-09 00:00:00"
"2","2/55","-25","0","103987","-1","7","2017-01-09 00:00:00"
"2","2/8","-5","0","103988","-1","7","2017-01-09 00:00:00"
"2","2/83","-86","0","103989","-1","7","2017-01-09 00:00:00"
"2","2/93","-92","0","103990","-1","7","2017-01-09 00:00:00"
"2","3/1","-80","0","103991","-1","7","2017-01-09 00:00:00"
"2","3/12","-9","0","103992","-1","7","2017-01-09 00:00:00"
"2","3/2","-31","0","103993","-1","7","2017-01-09 00:00:00"
"2","3/22","-25","0","103994","-1","7","2017-01-09 00:00:00"
"2","3/27","-4","0","103995","-1","7","2017-01-09 00:00:00"
"2","3/3","-23","0","103996","-1","7","2017-01-09 00:00:00"
"2","3/7","-17","0","103997","-1","7","2017-01-09 00:00:00"
"2","3/8","-36","0","103998","-1","7","2017-01-09 00:00:00"
"2","3/9","-23","0","103999","-1","7","2017-01-09 00:00:00"
"2","4/5","-36","0","104000","-1","7","2017-01-09 00:00:00"
"2","5/1","-24","0","104001","-1","7","2017-01-09 00:00:00"
"2","5/101","-28","0","104002","-1","7","2017-01-09 00:00:00"
"2","5/12","-13","0","104003","-1","7","2017-01-09 00:00:00"
"2","5/120","-30","0","104004","-1","7","2017-01-09 00:00:00"
"2","5/124","-104","0","104005","-1","7","2017-01-09 00:00:00"
"2","5/13","-15","0","104006","-1","7","2017-01-09 00:00:00"
"2","5/134","-36","0","104007","-1","7","2017-01-09 00:00:00"
"2","5/14","-44","0","104008","-1","7","2017-01-09 00:00:00"
"2","5/143","-76","0","104009","-1","7","2017-01-09 00:00:00"
"2","5/151","-20","0","104010","-1","7","2017-01-09 00:00:00"
"2","5/158","-270","0","104011","-1","7","2017-01-09 00:00:00"
"2","5/2","-28","0","104012","-1","7","2017-01-09 00:00:00"
"2","5/3","-4","0","104013","-1","7","2017-01-09 00:00:00"
"2","5/4","-47","0","104014","-1","7","2017-01-09 00:00:00"
"2","5/41","-19","0","104015","-1","7","2017-01-09 00:00:00"
"2","5/5","-28","0","104016","-1","7","2017-01-09 00:00:00"
"2","5/6","-47","0","104017","-1","7","2017-01-09 00:00:00"
"2","5/72","-95","0","104018","-1","7","2017-01-09 00:00:00"
"2","5/8","-51","0","104019","-1","7","2017-01-09 00:00:00"
"2","5/81","-46","0","104020","-1","7","2017-01-09 00:00:00"
"2","6/8","-30","0","104021","-1","7","2017-01-09 00:00:00"
"2","7/51","-80","0","104022","-1","7","2017-01-09 00:00:00"
"2","1/1","-483","0","104023","-1","7","2017-01-16 00:00:00"
"2","1/10","-115","0","104024","-1","7","2017-01-16 00:00:00"
"2","1/100","-4940","0","104025","-1","7","2017-01-16 00:00:00"
"2","1/104","-122","0","104026","-1","7","2017-01-16 00:00:00"
"2","1/11","-20","0","104027","-1","7","2017-01-16 00:00:00"
"2","1/112","-50","0","104028","-1","7","2017-01-16 00:00:00"
"2","1/13","-8","0","104029","-1","7","2017-01-16 00:00:00"
"2","1/132","-22","0","104030","-1","7","2017-01-16 00:00:00"
"2","1/136","-65","0","104031","-1","7","2017-01-16 00:00:00"
"2","1/139","-9","0","104032","-1","7","2017-01-16 00:00:00"
"2","1/15","-140","520","104033","-1","7","2017-01-16 00:00:00"
"2","1/16","-92","0","104034","-1","7","2017-01-16 00:00:00"
"2","1/2","-276","0","104035","-1","7","2017-01-16 00:00:00"
"2","1/20","-72","0","104036","-1","7","2017-01-16 00:00:00"
