"Raktarazon","Anyagazon","Mennyiseg"
"2","7/5","117.0148"
"2","1/1","-434356"
"2","1/2","-213594"
"2","1/4","-1341"
"2","1/3","-15305"
"5","1/2","60"
"5","1/4","150"
"5","1/5","200"
"2","7/1","25366.69"
"2","7/2","18112.97"
"2","7/3","193.784"
"2","7/4","49.93291"
"2","7/6","-503.1156"
"3","1/1","-10"
"3","1/2","0"
"6","1/2","60"
"2","1/10","-59027"
"2","1/11","-15317"
"2","1/16","-34413"
"2","1/5","-57176"
"2","1/6","-68898"
"2","1/7","-20739"
"2","1/9","-8852"
"2","2/1","-3764530"
"2","2/10","-22094"
"2","2/2","-2102429"
"2","2/4","-63597"
"2","2/6","-77184"
"2","2/8","-9164"
"2","3/1","-29506"
"2","3/2","-13351"
"2","3/3","-10545"
"2","3/5","-12455"
"2","4/1","-23720.56"
"2","5/1","-31654"
"2","5/2","-43188.1"
"2","5/4","-25658"
"2","5/5","-13024"
"2","5/6","-20410"
"2","5/8","-82050.6"
"2","1/12","-326"
"2","1/14","-1518"
"2","1/15","-9623"
"2","1/8","-2753.1"
"2","2/3","-5566"
"2","2/7","-5949"
"2","4/2","-8366"
"2","5/12","-17482"
"2","5/13","-6006"
"2","5/14","-18903"
"2","5/3","-11592"
"2","1/13","-7776"
"2","1/17","-2399"
"2","5/15","-55"
"2","3/4","-36013"
"2","3/7","-5498"
"2","5/16","-3577"
"2","5/7","-1119"
"2","6/1","-1078"
"2","2/11","-660"
"2","5/17","-70"
"2","5/10","-18"
"2","1/18","-524"
"2","3/9","-31583"
"2","6/4","-2367"
"2","1/19","-1599"
"2","3/12","-1344"
"2","3/10","-189"
"2","3/8","-7572"
"2","1/20","-7291"
"2","1/21","-20033"
"2","5/18","-11731"
"2","5/19","-268"
"2","2/9","-6815"
"2","4/3","-160.78"
"2","5/20","-501"
"3","7/1","3.290176E-05"
"3","7/4","-1.937151E-07"
"3","7/6","-7.021427E-05"
"3","7/43","-6.005168E-06"
"3","7/15","1.214445E-06"
"3","7/11","-5.51343E-07"
"3","7/21","-6.705523E-08"
"3","7/2","9.894371E-05"
"3","7/10","1.043081E-07"
"3","7/44","-9.23872E-07"
"3","7/5","1.173466E-07"
"3","7/16","-1.013279E-06"
"3","7/13","-1.536682E-08"
"3","7/47","-1.072884E-06"
"3","7/48","1.370907E-06"
"3","7/49","-5.587935E-09"
"3","7/54","-3.72529E-09"
"3","7/50","-9.313226E-10"
"3","7/3","0"
"3","7/8","-6.705523E-08"
"3","7/42","-8.940697E-08"
"3","7/36","-4.097819E-08"
"3","7/25","-4.470348E-08"
"3","7/27","-3.72529E-09"
