"FelhNev","VevoNev","Datum","RendSzam","RendTipus","ModDatum"
"Programgazda","Szemes Hús Bt.","2005-09-24 00:00:00","452","Éjszakai sütés","2005-09-24 09:43:56"
"Programgazda","Lívia élelmiszer ABC","2005-09-24 00:00:00","442","Éjszakai sütés","2005-09-24 09:50:09"
"Programgazda","Gróf és Fia Bt.","2005-09-22 00:00:00","379","Éjszakai sütés","2005-09-24 10:15:38"
"Programgazda","Gróf és Fia Bt.","2005-09-22 00:00:00","379","Éjszakai sütés","2005-09-24 10:15:44"
"Programgazda","Gróf és Fia Bt.","2005-09-22 00:00:00","379","Éjszakai sütés","2005-09-24 10:15:46"
"Programgazda","Gróf és Fia Bt.","2005-09-22 00:00:00","379","Éjszakai sütés","2005-09-24 10:15:58"
"Programgazda","Forintos  ABC","2005-09-20 00:00:00","321","Éjszakai sütés","2005-09-24 11:03:02"
"Programgazda","Forintos  ABC","2005-09-20 00:00:00","321","Éjszakai sütés","2005-09-24 11:03:16"
"Programgazda","Forintos  ABC","2005-09-21 00:00:00","348","Éjszakai sütés","2005-09-24 11:03:29"
"Programgazda","Forintos  ABC","2005-09-22 00:00:00","378","Éjszakai sütés","2005-09-24 11:04:06"
"Programgazda","Forintos  ABC","2005-09-21 00:00:00","348","Éjszakai sütés","2005-09-24 11:05:14"
"Programgazda","Zöldséges ABC","2005-09-25 00:00:00","457","Éjszakai sütés","2005-09-24 11:25:11"
"Programgazda","Szárszói Bolt","2005-09-25 00:00:00","464","Éjszakai sütés","2005-09-24 11:36:42"
"Programgazda","Milkus Bt.","2005-09-27 00:00:00","507","Éjszakai sütés","2005-09-26 10:38:16"
"Programgazda","Milkus Bt.","2005-09-27 00:00:00","507","Éjszakai sütés","2005-09-26 10:38:19"
"Programgazda","Milkus Bt.","2005-09-27 00:00:00","507","Éjszakai sütés","2005-09-26 10:38:23"
"Programgazda","Zöldséges ABC","2005-09-27 00:00:00","514","Éjszakai sütés","2005-09-26 10:56:19"
"Programgazda","Gróf és Fia Bt.","2005-09-27 00:00:00","501","Éjszakai sütés","2005-09-26 10:57:55"
"Programgazda","Gróf és Fia Bt.","2005-09-27 00:00:00","501","Éjszakai sütés","2005-09-26 10:58:06"
"Programgazda","Bolt 1","2005-09-27 00:00:00","517","Éjszakai sütés","2005-09-26 11:11:55"
"Programgazda","Bolt 1","2005-09-27 00:00:00","517","Éjszakai sütés","2005-09-26 11:13:22"
