"Vevoazon","Datum","Rendelestipus","Teljesitve","Nyomtatva","Rendelesszam","Szamlaazon","Igazolva","Nyugta"
"256","2017-02-01 00:00:00","1","True","True","119969","13223","False","False"
"8","2017-02-01 00:00:00","1","True","True","119970","13224","False","False"
"16","2017-02-01 00:00:00","1","True","True","119971","13225","False","False"
"274","2017-02-01 00:00:00","1","True","True","119972","13226","False","False"
"303","2017-02-01 00:00:00","1","True","True","119973","13228","False","False"
"124","2017-02-01 00:00:00","1","True","True","119974","13264","False","False"
"304","2017-02-01 00:00:00","1","True","True","119975","13229","False","False"
"65","2017-02-01 00:00:00","1","True","True","119976","0","False","False"
"361","2017-02-01 00:00:00","1","True","True","119977","0","False","False"
"172","2017-02-01 00:00:00","1","True","True","119978","0","False","False"
"257","2017-02-01 00:00:00","1","True","True","119979","0","False","False"
"115","2017-02-01 00:00:00","1","True","True","119980","13251","False","False"
"147","2017-02-01 00:00:00","1","True","True","119981","0","False","False"
"256","2017-01-31 00:00:00","1","True","False","119982","13223","False","False"
"115","2017-01-29 00:00:00","1","True","False","119983","13215","False","False"
"305","2017-02-01 00:00:00","1","True","True","119984","13252","False","False"
"53","2017-02-01 00:00:00","1","True","True","119985","13227","False","False"
"20","2017-02-02 00:00:00","1","True","False","119986","13331","False","False"
"309","2017-02-02 00:00:00","1","True","True","119987","0","False","False"
"256","2017-02-02 00:00:00","1","True","False","119988","13223","False","False"
"53","2017-02-03 00:00:00","1","True","True","120009","13227","False","False"
"8","2017-02-02 00:00:00","1","True","True","119989","13224","False","False"
"16","2017-02-02 00:00:00","1","True","False","119990","13225","False","False"
"274","2017-02-02 00:00:00","1","True","False","119991","13226","False","False"
"53","2017-02-02 00:00:00","1","True","True","119992","13227","False","False"
"303","2017-02-02 00:00:00","1","True","False","119993","13228","False","False"
"124","2017-02-02 00:00:00","1","True","False","119994","13264","False","False"
"304","2017-02-02 00:00:00","1","True","False","119995","13229","False","False"
"147","2017-02-02 00:00:00","1","True","False","119996","0","False","False"
"115","2017-02-02 00:00:00","1","True","False","119997","13251","False","False"
"257","2017-02-02 00:00:00","1","True","False","119998","0","False","False"
"172","2017-02-02 00:00:00","1","True","False","119999","0","False","False"
"361","2017-02-02 00:00:00","1","True","False","120000","0","False","False"
"65","2017-02-02 00:00:00","1","True","False","120001","0","False","False"
"305","2017-02-02 00:00:00","1","True","False","120002","13252","False","False"
