"Mennyiseg","Elszar","Rendelesszam","Anyagazon","Elteres"
"2","237","119554","5/12","False"
"5","144","119554","5/120","False"
"10","67","119554","5/124","False"
"3","144","119554","5/13","False"
"25","0","119554","5/130","False"
"4","152","119554","5/134","False"
"8","144","119554","5/14","False"
"8","0","119554","5/143","False"
"3","144","119554","5/151","False"
"5","152","119554","5/2","False"
"6","152","119554","5/4","False"
"3","144","119554","5/41","False"
"6","152","119554","5/5","False"
"6","152","119554","5/6","False"
"3","169","119554","5/72","False"
"10","144","119554","5/8","False"
"4","152","119554","5/81","False"
"6","152","119554","6/8","False"
"1","0","119564","1/2","False"
"1","0","119564","1/30","False"
"5","0","119564","1/59","False"
"2","190","119564","1/93","False"
"30","18","119564","2/1","False"
"25","18","119564","2/2","False"
"1","115","119564","3/27","False"
"2","98","119564","5/8","False"
"4","237","119574","1/1","False"
"5","97","119574","1/10","False"
"260","0","119574","1/100","False"
"4","0","119574","1/112","False"
"1","254","119574","1/13","False"
"1","0","119574","1/132","False"
"4","0","119574","1/136","False"
"8","127","119574","1/2","False"
"5","254","119574","1/22","False"
"2","220","119574","1/34","False"
"8","152","119574","1/48","False"
"3","0","119574","1/54","False"
"12","0","119574","1/56","False"
"2","93","119574","1/6","False"
"2","186","119574","1/7","False"
"3","262","119574","1/71","False"
"8","322","119574","1/97","False"
"1","296.61","119574","1/99","False"
"150","21","119574","2/1","False"
"15","55","119574","2/4","False"
"10","0","119574","2/83","False"
"10","0","119574","2/93","False"
"4","211","119574","3/1","False"
"3","466","119574","3/2","False"
"4","228","119574","3/22","False"
"3","0","119574","3/3","False"
"3","466","119574","3/7","False"
"5","101","119574","4/5","False"
"5","144","119574","5/1","False"
"5","144","119574","5/101","False"
"2","237","119574","5/12","False"
"5","144","119574","5/120","False"
"10","67","119574","5/124","False"
"3","144","119574","5/13","False"
"25","0","119574","5/130","False"
"4","152","119574","5/134","False"
"8","144","119574","5/14","False"
"12","0","119574","5/143","False"
"3","144","119574","5/151","False"
"5","152","119574","5/2","False"
"6","152","119574","5/4","False"
"3","144","119574","5/41","False"
"6","152","119574","5/5","False"
"6","152","119574","5/6","False"
"1","0","119582","1/2","False"
"1","0","119582","1/30","False"
"2","0","119582","1/48","False"
"5","0","119582","1/59","False"
"3","190","119582","1/93","False"
"35","0","119561","1/100","False"
"4","0","119561","1/22","False"
"2","0","119561","1/93","False"
"30","13.5","119561","2/1","False"
"30","13.5","119561","2/2","False"
"5","0","119561","2/4","False"
"10","0","119572","1/100","False"
"1","0","119572","1/136","False"
"1","0","119572","1/139","False"
"1","0","119572","1/55","False"
"1","0","119572","1/7","False"
"1","0","119573","1/136","False"
"4","129.17","119573","1/48","False"
"1","0","119573","1/93","False"
"40","15","119573","2/1","False"
"10","15","119573","2/2","False"
"2","0","119573","5/6","False"
"3","169","119574","5/72","False"
"8","144","119574","5/8","False"
"4","152","119574","5/81","False"
"6","152","119574","6/8","False"
"12","210","119575","1/1","False"
"9","680","119575","3/8","False"
"2","0","119600","1/1","False"
"2","75","119600","1/10","False"
