"Szallitoazon","Kontakt","Szamlaszam","Telefon1","Telefon2","Telefon3","Mobil1","Mobil2","Email1","Email2","Weblap","Elerhetoseg","Vezetonev","Kontaktbeosztas","Kategoria","Szallitonev","Telephely","Aktiv"
"32","","","","","","","","","","","","",""," ","Jumper","\","True"
"1","","10700172-04892609-51100005","","","","","","","","","","Obert Pál",""," ","Obert Kereskedelmi és Szolgáltató Kft.","7400\Kaposvár\Iparos u. 15.\","True"
"2","","10918001-00000003-16000006","","","06750343-324","","","","","","","",""," ","Cornexi Rt.","7020\Dunaföldvár\Reiter köz 3.\","True"
"3","","","","","0684363584","","","","","","","",""," ","Dráva Tej","8624\Balatonszárszó\\","True"
"4","","10201006-50262146 KNH","0676-472-930","","","","","","","","","",""," ","Fánkos RADOZA BT.","6044\Kecskemét\Hetényvezér út 7-9\","True"
"5"," Molnár Józsi","","","","0620-933-79-11","","","","","","","",""," ","Élesztõs","\Zalaegerszeg\Bazitai u 1/f\","True"
"6","Miklósi Sándor","","06-84-317-270","","","","06-30-9690-492","","","","","","Árúszállító"," ","Tisztítószeres","8500\Siófok\Koch Róbert u. 6/2\","True"
"7","","","06-85-550-195","","","","","","","","","",""," ","Csapágy és Autóalkatrész","8630\Balatonboglár\Dózsa \","True"
"8","","","","","","","","","","","","",""," ","Metro","\","True"
"9","","","","","","","","","","","","",""," ","Kezola","8624\Balatonszemes\Szabadság u.46\","True"
"10","","","","","","","","","","","","",""," ","Backaldrin -Hungária Ker. és Szolg. Kft","2310\Szigetszentmiklós-Lakihegy\II. Rákoczi Ferenc u. 20-22\","True"
"11","","","","","","","","","","","","",""," ","Papírbolt","8630\Balatonboglár\\","True"
"12","","","","","","","","","","","","",""," ","Victória ABC","8636\Balatonszemes\\","True"
"14","","","","","","","","","","","","",""," ","Elektromos cumók","8638\Balatonlelle\\","True"
"15","","","","","","","","","","","","",""," ","OBI","\","True"
"16","","","","","","","","","","","","",""," ","Tesco","\","True"
"17","","","","","","","","","","","","",""," ","Inertnet/ Euroweb","\","True"
"18","","","","","","","","","","","","",""," ","Mol Rt.","8623\Balatonföldvár\Szentgyörgy u.\","True"
"19","","","","","","","","","","","","",""," ","Kezola Kereskedelmi Kft","8636\Balatonszárszó\Sz6emesi út.25/b\","True"
"20","","","","","","","","","","","","",""," ","Bogdán és Fiai Bt.","8638\Balatonlelle\Látrányi u\","True"
"21","","","","","","","","","","","","",""," ","Torma Autó Kft.","8624\Balatonszárszó\Kossuth L.\","True"
"22","","","","","","","","","","","","",""," ","Balassa","8624\Balatonszárszó\Szóládi u.\","True"
"23","","","","0653570113","0653-570-115","","","","","","","",""," ","Meggy Metros","\","False"
"24","","","","","","","","","","","","",""," ","Mantler Hungária kft","9028\Gyõr\FEhérvári u.80\","True"
"25","","","","","","","","","","","","",""," ","Gyermelyi Malom","\","True"
"26","","","","","","","","","","","","",""," ","Puratos","\","True"
"27","","","","","","","","","","","","",""," ","Penny","\","True"
"28","","","","","","","","","","","","",""," ","Egyéb","\","True"
"29","","","","","","","","","","","","",""," ","Vas","\","True"
"30","","","","","","","","","","","","",""," ","Polimix","\","True"
"31","","","","","","","","","","","","",""," ","Posta","\","True"
