"Szallitoazon","Egysegar","Anyagazon"
"1","681.6","7/5"
"21","11950","7/61"
"2","44","7/2"
"2","42","7/1"
"2","60","7/3"
"2","60","7/48"
"5","181","7/43"
"1","700.8","7/25"
"1","206.2","7/35"
"1","317.2","7/62"
"1","170","7/44"
"1","180","7/45"
"1","412.8","7/10"
"1","459.1","7/40"
"1","181.67","7/16"
"1","172.5","7/36"
"1","692.2","7/42"
"1","32","7/15"
"1","475.2","7/23"
"1","1440","7/13"
"1","334.4","7/19"
"1","393.6","7/18"
"1","675","7/54"
"1","512.5","7/65"
"2","55555","7/55"
"3","720","7/40"
"10","360","7/55"
"22","28217","7/100"
"1","667.2","7/68"
"26","193","7/45"
"11","520","1/15"
"1","206.4","7/30"
"1","278.4","7/83"
"1","2352","7/69"
"1","1459.2","7/41"
"1","566.4","7/95"
"1","4900","7/101"
"26","183","7/44"
"27","2499","7/102"
"25","63","7/1"
"25","86","7/2"
"1","470.4","7/21"
"14","2574","7/102"
"1","2150","7/89"
"7","18916","7/102"
"15","1500","7/102"
"25","64","7/3"
