"Szamlaazon","Datum","Szamlaszam","Perertek","Datumtol","Datumig","Vevoazon","Nyomtatva","Tipus","Masikszamla","Fizhatido","Teljesitve","Fizetesmod","Szoveg1","Szoveg2","Masikszamlaperertek","SzamlaszamStr","Elotag","Szlahely","Kiegybizsz","S1","S2","N1","N2","NullaErtek","NullaAfa","NullaOsszes","12Ertek","12Afa","12Osszes","25Ertek","25Afa","25Osszes","AMErtek","AMAfa","AMOsszes","MindErtek","MindAfa","MindOsszes","Azon","SzallitoNeve","SzallitVaros","SzallitoUtca","VevoNeve","VevoVaros","VevoUtca","AdoSzam","BankSzamla","PeldanyNev"
"13172","2016-12-29 00:00:00","803","/2016","2016-12-01 00:00:00","2016-12-31 00:00:00","115","2016-12-29 00:00:00","1","0","2016-12-29 00:00:00","","Készpénz","","",""," 803/2016","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13173","2016-12-30 00:00:00","804","/2016","2016-12-29 00:00:00","2017-01-02 00:00:00","41","2016-12-30 00:00:00","1","0","2016-12-30 00:00:00","","Készpénz","","",""," 804/2016","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13174","2017-01-02 00:00:00","1","/2017","2016-12-01 00:00:00","2016-12-31 00:00:00","108","2017-01-02 00:00:00","1","0","2017-01-10 00:00:00","","Átutalás","","",""," 1/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13175","2017-01-02 00:00:00","2","/2017","2016-12-01 00:00:00","2016-12-31 00:00:00","162","2017-01-02 00:00:00","1","0","2017-01-12 00:00:00","","Átutalás","","",""," 2/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13176","2017-01-02 00:00:00","3","/2017","2016-12-25 00:00:00","2016-12-31 00:00:00","16","2017-01-02 00:00:00","1","0","2017-01-02 00:00:00","","Készpénz","","",""," 3/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13177","2017-01-02 00:00:00","4","/2017","2016-12-25 00:00:00","2016-12-31 00:00:00","274","2017-01-02 00:00:00","1","0","2017-01-02 00:00:00","","Készpénz","","",""," 4/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13178","2017-01-02 00:00:00","5","/2017","2016-12-01 00:00:00","2016-12-31 00:00:00","111","2017-01-02 00:00:00","1","0","2017-01-10 00:00:00","","Átutalás","","",""," 5/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13179","2017-01-02 00:00:00","6","/2017","2016-12-25 00:00:00","2016-12-31 00:00:00","40","2017-01-02 00:00:00","1","0","2017-01-02 00:00:00","","Készpénz","","",""," 6/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13180","2017-01-02 00:00:00","7","/2017","2016-12-25 00:00:00","2016-12-31 00:00:00","53","2017-01-02 00:00:00","1","0","2017-01-02 00:00:00","","Készpénz","","",""," 7/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13181","2017-01-02 00:00:00","8","/2017","2016-12-25 00:00:00","2016-12-31 00:00:00","303","2017-01-02 00:00:00","1","0","2017-01-02 00:00:00","","Készpénz","","",""," 8/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13182","2017-01-02 00:00:00","9","/2017","2016-12-01 00:00:00","2016-12-31 00:00:00","124","2017-01-02 00:00:00","1","0","2017-01-02 00:00:00","","Készpénz","","",""," 9/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13183","2017-01-02 00:00:00","10","/2017","2016-12-25 00:00:00","2016-12-31 00:00:00","304","2017-01-02 00:00:00","1","0","2017-01-02 00:00:00","","Készpénz","","",""," 10/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13184","2017-01-02 00:00:00","11","/2017","2016-12-25 00:00:00","2016-12-31 00:00:00","19","2017-01-02 00:00:00","1","0","2017-01-02 00:00:00","","Készpénz","","",""," 11/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13185","2017-01-02 00:00:00","12","/2017","2016-12-01 00:00:00","2016-12-31 00:00:00","305","2017-01-02 00:00:00","1","0","2017-01-10 00:00:00","","Átutalás","","",""," 12/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13186","2017-01-02 00:00:00","13","/2017","2016-12-01 00:00:00","2016-12-31 00:00:00","124","2017-01-02 00:00:00","2","13182","","",""," 9/2017. számla stornó számlája","Nem megfelelõ ár",""," 13/2017","","0","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13187","2017-01-02 00:00:00","14","/2017","2016-12-01 00:00:00","2016-12-31 00:00:00","124","2017-01-02 00:00:00","1","0","2017-01-02 00:00:00","","Készpénz","","",""," 14/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13188","2017-01-09 00:00:00","15","/2017","2017-01-01 00:00:00","2017-01-07 00:00:00","16","2017-01-09 00:00:00","1","0","2017-01-09 00:00:00","","Készpénz","","",""," 15/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13189","2017-01-09 00:00:00","16","/2017","2017-01-01 00:00:00","2017-01-07 00:00:00","274","2017-01-09 00:00:00","1","0","2017-01-09 00:00:00","","Készpénz","","",""," 16/2017","","1","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
