"Szamlaazon","Anyagazon","Mennyiseg","Elszar","Szolg","Anyagnev","Besszam","Kedvezmeny","Erelszar","ME","Ertek","Afakulcs","Afaertek","Bruttoertek"
"78","1/5","12","95.66","False","","","","0","","0","0","0","0"
"78","2/1","180","12.18","False","","","","0","","0","0","0","0"
"78","2/2","20","12.18","False","","","","0","","0","0","0","0"
"79","1/1","60","104.35","False","","","","0","","0","0","0","0"
"79","1/15","2","26.09","False","","","","0","","0","0","0","0"
"79","1/2","30","52.18","False","","","","0","","0","0","0","0"
"79","2/1","360","10.44","False","","","","0","","0","0","0","0"
"79","2/2","180","10.44","False","","","","0","","0","0","0","0"
"79","3/1","2","102.61","False","","","","0","","0","0","0","0"
"79","3/2","5","219.14","False","","","","0","","0","0","0","0"
"79","3/5","6","60.87","False","","","","0","","0","0","0","0"
"79","4/1","2","48.7","False","","","","0","","0","0","0","0"
"79","5/12","5","60.87","False","","","","0","","0","0","0","0"
"79","5/13","3","60.87","False","","","","0","","0","0","0","0"
"79","5/2","5","60.87","False","","","","0","","0","0","0","0"
"79","5/3","5","60.87","False","","","","0","","0","0","0","0"
"79","5/4","1","60.87","False","","","","0","","0","0","0","0"
"79","5/6","1","60.87","False","","","","0","","0","0","0","0"
"79","5/8","5","60.87","False","","","","0","","0","0","0","0"
"80","1/1","27","139.13","False","","","","0","","0","0","0","0"
"80","2/11","35","39.13","False","","","","0","","0","0","0","0"
"81","1/1","30","117.4","False","","","","0","","0","0","0","0"
"81","1/14","1","104.35","False","","","","0","","0","0","0","0"
"81","1/15","7","26.09","False","","","","0","","0","0","0","0"
"81","1/6","15","34.79","False","","","","0","","0","0","0","0"
"81","2/1","125","9.57","False","","","","0","","0","0","0","0"
"81","3/4","1","48.7","False","","","","0","","0","0","0","0"
"81","3/5","10","65.22","False","","","","0","","0","0","0","0"
"81","4/1","10","48.7","False","","","","0","","0","0","0","0"
"81","5/12","10","71.31","False","","","","0","","0","0","0","0"
"81","5/13","6","62.61","False","","","","0","","0","0","0","0"
"81","5/14","3","65.22","False","","","","0","","0","0","0","0"
"81","5/16","3","65.22","False","","","","0","","0","0","0","0"
"81","5/2","5","71.31","False","","","","0","","0","0","0","0"
