"Number","Text"
"0101","A cég saját adatainak megadására szolgáló menüpont."
"0102","A cég beszállítói adatainak megadására szolgáló menüpont."
"0103","A cég vevõi adatainak megadására szolgáló menüpont."
"0104","A cég partnerei adatainak megadására szolgáló menüpont."
"0201","A pékség termeléséhez szükséges alapanyagok és kereskedelmi anyagok beszerzési teendõinek intézése."
"0301","A pékség vevõinek megrendelései, szállítási tétel összeállítása, másolása, szállítólevél készítése és nyomtatása."
"0302","Vevõnként szerepelnek a megrendelések, átfogó képet nyújtva a már felvitt és a még beírandó rendelési tételekrõl."
"0303","Megrendelt termékek adott idõszakra vonatkozó összesítése."
"0401","A pékséghez tartozó kiskereskedelmi egységek készletfogyásának nyilvántartására alkalmas menüpont."
"0501","Gyártási programhoz tartozó anyagszükséglet raktári kivétlistáját készíthetjük el ebben a menüpontban."
"0502","Extra anyagfelhasználást könyvelhetünk ebben a menüpontban."
"0503","Nem felhasznált gyártási alapanyag raktárba való visszavételezését végezhetjük el ebben a menüpontban."
"0504","Késztermék raktárba való visszavételének könyvelésére szolgáló menüpont."
"0601","Raktárak közti anyagmozgás könyvelésére nyílik itt lehetõség."
"0602","A kiválasztott raktárra vonatkozó leltárívet lehet nyomtatni ebben a menüpontban."
"0603","A leltáreltéréseket lehet könyvelni ebben a menöpontban."
"0605","A kiválasztott anyag készletmozgásait kísérhetjük figyelemmel a menüpont segítségével."
"0701","A szállítólevelek adatai alapján számlát készíthetünk ebben a menüpontban."
"0702","Korábban elkészített számla másolati példányát nyomtathatjuk ki."
"0801","A termelésben és kereskedelemben használt alap-, félkész anyagok és késztermékek alapadatainak megadására van lehetõség ebben a menüpontban."
"0802","Anyagok csoportjainak felvitelére nyílik lehetõség ebben a menüpontban."
"0803","Anyagok csoportok szerinti hierarchikus megtekintésére nyílik lehetõség ebben a menüpontban."
"0804","Termelési anyagjegyzékek megadására szolgáló menüpont."
"0805","Anyagjegyzékek megtekintésére szolgáló menüpont."
"1001","A cég raktárainak adatai adhatóak meg ebben a menüpontban."
"1002","Számla és szállítólevél nyomtatásával kapcsolatos beállítások megadására nyílik lehetõség a menüpontban."
"0703","Korábban elkészített számla stornószámlájának készítése."
"1004","A program adatainak biztonsági mentése."
"1005","A biztonsági mentéssel archivált adatok visszatöltése."
"0304","Megrendelt termékek raktárból való kivezetése."
"0704","Számla ellenértékének kiegyenlítése, kiegyenlítetlen számlák listája."
"0705","Számlák adatainak lekérdezései."
"1003","Rendeléstípusok adhatóak meg ebben a menüpontban."
"0604","Anyagok selejtezésének könyvelése."
"0901","A cég által végzett szolgáltatástípusok alapadatainak megadása."
"0902","Szolgáltatástípusok csoportjainak felvitelére nyílik lehetõség ebben a menüpontban."
"0903","Szolgáltatástípusok csoportok szerinti hierarchikus megtekintésére nyílik lehetõség ebben a menüpontban."
"0904","Munkalapok (elvégzett szolgáltatás és hozzá felhasznált anyagok) felvitele, módosítása, lezárása, nyomtatása, számlázása."
