"Megnev","Besorolas","ME","Mennyiseg","Egysegar","Ertek","Kulcs","Afa","ErtekAfaval","Azon","Kedv","Kedvegysegar"
"Szemesi kenyér 1 kg-os","19059030","db","49","480","23520","18","4233.6","27753.6","1","","0"
"Vajas kifli 7,5 dkg-os","19059090","db","520","73","37960","18","6832.8","44792.8","1","","0"
"Falusi burgonyás kenyér","19059030","db","1","480","480","18","86.4","566.4","1","","0"
"Szemesi kenyér szeletelt 500 gr-os -forma-","19059030","db","13","370","4810","18","865.8","5675.8","1","","0"
"Szemesi  kenyér 500 gr-os","19059030","db","2","305","610","18","109.8","719.8","1","","0"
"Szemesi szeletelt kenyér 1 kg- os","19059030","db","6","520","3120","18","561.6","3681.6","1","","0"
"Szemesi kenyér 2 kg","19059030","db","3","960","2880","18","518.4","3398.4","1","","0"
"Graham zsemle 6 dkg-os","19059030","db","11","66","726","18","130.68","856.68","1","","0"
"Többmagvas kifli 6 dkg-os","19059030","db","23","70","1610","18","289.8","1899.8","1","","0"
"Nagyi kenyere 2 kg-os","919059030","db","1","1160","1160","18","208.8","1368.8","1","","0"
"Szemesi kenyér szeletelt 500gr-os","19059030","db","59","370","21830","18","3929.4","25759.4","1","","0"
"Többmagvas kenyér 500 gr-os szeletelt","19059030","db","9","550","4950","18","891","5841","1","","0"
"Vándor kenyér 750 gr-os","19059030","db","27","570","15390","18","2770.2","18160.2","1","","0"
"Zsemle","19059090","db","540","40","21600","18","3888","25488","1","","0"
"Sós nagykifli 12 dkg-os","19059090","db","19","145","2755","18","495.9","3250.9","1","","0"
"Fonott kalács 0,250 gr","19059060","db","1","490","490","18","88.2","578.2","1","","0"
"Kakaós kuglóf 1000 gr-os","19059060","db","7","1540","10780","18","1940.4","12720.4","1","","0"
"Kakaós kuglóf 500 gr-os","19059060","db","1","770","770","18","138.6","908.6","1","","0"
"Sajtos pogácsa leveles","19059060","db","20","285","5700","18","1026","6726","1","","0"
"Pudingos croassan","19059060","db","8","305","2440","18","439.2","2879.2","1","","0"
"Kornspitz","19059090","db","3","70","210","18","37.8","247.8","1","","0"
"Csokis-túrós rúd","19059060","db","6","305","1830","18","329.4","2159.4","1","","0"
"Leveles túrós","19059060","db","11","285","3135","18","564.3","3699.3","1","","0"
"Áfonyás rúd","19059060","db","10","305","3050","18","549","3599","1","","0"
