"Vevoazon","Kontakt","Szamlaszam","Telefon1","Telefon2","Telefon3","Mobil1","Mobil2","Email1","Email2","Weblap","Elerhetoseg","Vezetonev","Kontaktbeosztas","Kategoria","Atvevonev","Atvevocim1","Atvevocim2","Vevonev","Telephely","Aktiv","Nyugta"
"105","","","","","","","","","","","","","","Nyári üzlet;","","","","Hotel Csizmás Mihály","8624\Baltonszárszó\Ady E.u 3.\","False","False"
"107","","","","","","","","","","","","","","Nyári üzlet;","","","","Nemecz Nóra E.v.","8622\Szántód\Móricz Zs.u.27.\","False","False"
"108","","","","","","","","","","","","","","Nyári üzlet;","","","","Fekete Zoltán EV.                                                                               Adószám:  50925197-2-34","8638\Balatonlelle -Rádpuszta\Árpád u. 9033/11 hrsz.\","False","False"
"109","","","","","","","","","","","","","","Nyári üzlet;","","","","Makay Attila","8636\Balatonlelle\Rákóczi.u.330\","False","False"
"110","","","","","","","","","","","","",""," ","","","","Nagy Pál Attila  Nagyfatál  Büfé Boglári Platán Strand 1","2879\Hánta\Dohány u.28.\","False","False"
"111","","","","","","","","","","","","","","Nyári üzlet;","","","","Közúti Vendégház Kft.(Három Hattyú Hotel)","8623\Balatonföldvár\Rákóczi ut. 45.\","False","False"
"112","","","","","","","","","","","","","","Nem üzemelõ;","","","","Elek Dezsõné","8625\Szólád\Kossuth L.  u. 21/a.\","False","False"
"113","","","0684/340244","","","","","","","","","","","Átutalásos;","","","","Polgármesteri Hivatal","8617\Kõröshegy\Petõfi S. u.71.\","False","False"
"114","","","","","","","","","","","","","","Átutalásos;","","","","Kötcsei Óvoda","8627\Kötcse\Hõsök Tere 1.\","False","False"
"115","","","","","","","","","","","","","","Átutalásos;","","","","Balatonföldvári Többcélú Kistérségi Társulás Pénzügyi Gondnoksága","8623\Balatonföldvár\Gábor Á. u. 1.\","False","False"
"116","","","","","","","","","","","","","","Átutalásos;","","","","Kis Kapitány Büfé","\Zamárdi \Alsó Pincesor 4684/2\","False","False"
"117","","","","","","","","","","","","","","Nem üzemelõ;","","","","Fonyódi gimnázium büfé","\Fonyód\\","False","False"
"139","","","","","","","","","","","","",""," ","","","","Budapest Fõváros Önkormányzatának Gyermekotthona","8630\Balatonboglár\Kikötõ Sétány u.5.\","False","False"
"140","","","06-30-473-1988","","","","","","","","","",""," ","","","","Takács Gyula  - PLATÁN BÜFÉ -                                                          Adószám:55969714-1-27","8622\Szántód\Tihany u.1.\","False","False"
"141","","","","","","","","","","","","",""," ","","","","Fülöpke Bt.","8624\Balatonszárszó\Tábor u.5.\","False","False"
"142","","","","","","","","","","","","",""," ","","","","Fekete Team","8624\Balatonszárszó\Mikszáth K.u.5.\","False","False"
"143","","","","","","","","","","","","",""," ","","","","Müller Kft. Tó Büfé","\Balatonlelle\Virág Strand\","False","False"
"144","","","","","","","","","","","","",""," ","","","","Napsugár Falatozó","\Balatonlelle\Virág Strand\","False","False"
"145","","","","","","","","","","","","",""," ","","","","Play Büfé","\Balatonszemes\\","False","False"
"146","","","","","","","","","","","","",""," ","","","","Urbán Ferncné","8638\Balatonlelle\Fortuna út.2.\","False","False"
"147","","","","","","","","","","","","",""," ","","","","Balatonföldvár Mesevár Óvoda ","8623\Balatonföldvár\Kõröshegyi u.13.\","False","False"
"148","","","0684/362-636","","","","","","","","","",""," ","","","","Csongrád Megyei Önkormányzat Gyermeküdülõje","8624\Balatonszárszó\Tábor u.3.\","False","False"
"149","","","","","","","","","","","","",""," ","","","","Pékbolt Szemes Barát Gábor","\Balatonszemes\\","False","False"
"150","","","","","","","","","","","","",""," ","","","","Obert Kereskedelmi és Szolg.kft","7400\Kaposvár\Iparos u.15.\","False","False"
"151","","","","","","","","","","","","",""," ","","","","Sándorfalvai Kulturális Egyesület","6762\Sándorfalva\Ady E.u.7.\","False","False"
"152","","","","","","","","","","","","",""," ","","","","Rákóczi Zsigmond Iskola Segítõ Alapítvány","39010\Szerencs\Rálóczi tér.1.\","False","False"
"153","","","","","","","","","","","","",""," ","","","","Mocorgó Óvoda","2310\Szigetszentmiklós\Szent Miklós u.8/a\","False","False"
"154","","","","","","","","","","","","",""," ","","","","Szivárvány Óvoda","1195\Budapest\Petõfi u.34.\","False","False"
"155","","","","","","","","","","","","",""," ","","","","Huron - Gourmand Kft.","1112\Budapest\Kérõ u.8.\","False","False"
"156","","","","","","","","","","","","",""," ","","","","SAshalmi Manoda Óvoda","1163\Budapest\Könyvtár u.26.\","False","False"
"157","","","","","","","","","","","","",""," ","","","","Földvár Platán Bt.","8623\Balatonföldvár\Széchenyi  u.1/3.\","False","False"
"158","","","","","","","","","","","","",""," ","","","","Krepuska és Tsa Kft.","8624\Balatonszárszó\Fõu.5.\","False","False"
"159","","","","","","","","","","","","",""," ","","","","Sergió Grill Bt. Csizmadia Zoltán","1048\Budapest\Megyeri u.203.\","False","False"
"161","","","20/9807950","","","","","","","","","Milovánics István","","Nyári üzlet;","","8636","Kisfaludy.u.","Milovánics István Gyros Büfé","8636\Balatonszemes\\","False","False"
"162","","","","","","","","","","","","",""," ","","","","Geronto - Med 2005  Nonprofit Kft.                                                       Adószám:22210991214","8623\Balatonföldvár\Széchenyi 2.\","True","False"
"163","","","","","","","","","","","","",""," ","","","","Farkasházy Tivadar","1136\Budapest\Hegedûs Gy.u.12.\","False","False"
"164","","","","","","","","","","","","",""," ","","","","Balatonszárszó konyhája magán","\Balatonszárszó\\","False","False"
"165","","","","","","","","","","","","",""," ","","","","BFKT. Óv. Ált. Isk. és AMI  Gróf Széchenyi Imre Általános Iskola","8623\Balatonföldvár\Gábor Á. u.1.\","False","False"
"166","","","","","","","","","","","","",""," ","","","","Szárszói iskolához","\","False","False"
"167","","","","","","","","","","","","",""," ","","","","Nike Parti Szervíz Kft.","8638\Balatonlelle\Rákóczi u.366\","False","False"
"168","","","","","","","","","","","","",""," ","","","","Horváth Zsuzsanna","\Lengyeltóti\\","False","False"
"118","","","","","","","","","","","","","","Átutalásos;","","","","Balatonföldvár Város Pénzügyi Gondnoksága Óvoda","8623\Balatonföldvár\Gábor Á.u.1.\","False","False"
"119","","","+36-30/2976320","","","","","","","","","","","Átutalásos;","","","","MEKO RESTI  Kft.","1087\Budapest\Baross tér 15/a\","False","False"
"120","","","","","","","","","","","","","","Nem üzemelõ;","","","","Dalkör Egysület Faluház ","\Kõrõshegy\Kozma Sándor tér 1.\","False","False"
"121","","","","","","","","","","","","",""," ","","","","Fehér Zsolt                                                                                        Adószám:44661003-2-24","\Szántód\Móricz Zs.u.60.\","False","False"
"122","","","","","","","","","","","","",""," ","","","","Papp Abc 2","\Látrány\\","False","False"
"124","","","","","","","","","","","","",""," ","","","","Szabó Béláné                                                                               Adószám: 51243537-1-34","8617\Kõrõshegy\Kaposvári u.6.\","True","False"
"125","","","","","","","","","","","","",""," ","","","","Móló Vengéglátó Kft. Mátyás Zoltán","8638\Balatonlelle\Móló Sétány 9.\","False","False"
"128","","","","","","","","","","","","",""," ","","","","Szárszó Kft. 2.","8624\Balatonszárszó\Csárda u.18.\","False","False"
"129","","","","","","","","","","","","","","Meglévõ üzlet;","","","","Malétei Barna Gyuláné (Marika Büfé)","8633\Balatonföldvár\\","False","False"
"130","","","","","","","","","","","","",""," ","","","","Polgári Magyarországért Alapítvány","1013\Budapest\Pauler u.11.\","False","False"
"131","","","","","","","","","","","","",""," ","","","","Hajdú És Fia Bt.","8636\Balatonszemes\Ady Endre u.30.\","False","False"
"132","","","","","","","","","","","","",""," ","","","","Piros Abc","\Siófok\Honvéd u.116./b.\","False","False"
"133","","","","","","","","","","","","",""," ","","","","CBA Foki Kft. Foki Abc","\Siófok\Koch R. u.10.\","False","False"
"138","","","","","","","","","","","","",""," ","","","","Jáki Büfé Bálint Beáta","8636\Balatonszemes\Vasvári Pál út 9.\","False","False"
"1","","","06-84-360-840","","a","06-30-989-19-74","","","","","","","","Nem üzemelõ;","","","","Mórocz Bt. Szemes","8636\Balatonszemes\Bajcsy-Zsilinszky u. 36.\","False","False"
"2","","","06-84-362-507","","","06-30-436-79-09","","","","","","","","Meglévõ üzlet;","","","","Milkus Bt.","8624\Balatonszárszó\Hõsök tere.4.\","False","False"
"3","","","","","","","","","","","","Milovánovics István","","Meglévõ üzlet;","","","","Mini ABC","8636\Balatonszemes\Szabadság u.10\","False","False"
"5","","","0630-4706821","","06304706821","06304706821","06304706821","","","","","Haászné Kiss Éva","","Már megszünt üzlet;","","","","Nádas Vendégló","\Balatonfenyves\Pozsonyi u.13.\","True","False"
