"Vevoazon","Anyagazon","Artipus","Kedvezmeny","Szazalek"
"2","1/1","17","29","False"
"2","1/2","17","13","False"
"2","1/3","17","0","False"
"2","1/4","17","0","False"
"2","1/5","17","0","False"
"2","7/1","1","0","False"
"2","7/2","1","0","False"
"2","7/3","1","0","False"
"2","7/4","1","0","False"
"2","7/5","1","0","False"
"2","7/6","1","0","False"
"6","1/1","1","0","False"
"6","1/2","1","0","False"
"6","1/3","1","0","False"
"6","1/4","1","0","False"
"6","1/5","1","0","False"
"6","1/6","1","0","False"
"6","1/8","1","0","False"
"6","1/9","1","0","False"
"6","1/10","1","0","False"
"6","1/11","1","0","False"
"6","1/12","1","0","False"
"6","1/13","1","0","False"
"6","1/14","1","0","False"
"6","2/1","1","0","False"
"6","2/2","1","0","False"
"6","2/3","1","0","False"
"6","2/4","1","0","False"
"6","2/6","1","0","False"
"6","2/7","1","0","False"
"6","2/8","1","0","False"
"6","2/9","1","0","False"
"6","3/1","1","0","False"
"6","3/2","1","0","False"
"6","3/3","1","0","False"
"6","3/4","1","0","False"
"6","3/5","1","0","False"
"6","3/6","1","0","False"
"6","3/7","1","0","False"
"6","3/8","1","0","False"
"6","3/9","1","0","False"
"6","3/10","1","0","False"
"6","3/11","1","0","False"
"6","4/1","1","0","False"
"6","4/2","1","0","False"
"6","4/3","1","0","False"
"6","5/1","1","0","False"
"6","5/2","1","0","False"
"6","5/3","1","0","False"
"6","5/4","1","0","False"
"6","5/5","1","0","False"
"6","5/6","1","0","False"
"6","5/7","1","0","False"
"6","5/8","1","0","False"
"6","5/9","1","0","False"
"6","5/10","1","0","False"
"6","5/11","1","0","False"
"6","5/12","1","0","False"
"6","5/13","1","0","False"
"6","5/14","1","0","False"
"6","6/1","1","0","False"
"6","6/2","1","0","False"
"6","7/","1","0","False"
"6","7/10","1","0","False"
"6","7/16","1","0","False"
"6","7/17","1","0","False"
"46","1/1","18","8.34","False"
"46","1/2","18","0","False"
"46","1/3","18","0","False"
"46","1/4","18","0","False"
"46","1/5","18","0","False"
"46","1/6","18","0","False"
"46","1/7","18","0","False"
"46","1/8","18","0","False"
"46","1/9","18","0","False"
"46","1/10","18","0","False"
"46","1/11","18","0","False"
"46","1/12","18","0","False"
"46","1/13","18","0","False"
"46","1/14","18","0","False"
"46","1/15","18","0","False"
"46","1/16","18","0","False"
"46","1/17","18","0","False"
"46","1/18","18","0","False"
"46","1/19","18","0","False"
"46","1/20","18","0","False"
"46","1/21","18","0","False"
"46","1/22","18","0","False"
"46","1/23","18","0","False"
"1","5/11","1","0","False"
"1","7/","1","0","False"
"1","7/10","1","0","False"
"1","7/16","1","0","False"
"1","7/17","1","0","False"
"16","5/11","1","0","False"
"16","7/","1","0","False"
"16","7/10","1","0","False"
"16","7/16","1","0","False"
"16","7/17","1","0","False"
"29","1/1","1","0","False"
