"Vevoazon","Fmazon","Hatarido","Kedvezmeny"
"510","0","0","False"
"511","0","0","False"
"512","0","0","False"
"513","0","0","False"
"514","0","0","False"
"515","0","0","False"
"516","0","0","False"
"517","0","0","False"
"383","0","0","False"
"384","0","0","False"
"385","0","0","False"
"386","0","0","False"
"387","0","0","False"
"388","1","8","False"
"389","0","0","False"
"390","0","0","False"
"391","0","0","False"
"392","0","0","False"
"393","0","0","False"
"1","0","0","False"
"2","0","0","False"
"3","0","0","False"
"5","0","0","False"
"8","0","0","False"
"22","0","0","False"
"16","0","0","False"
"29","0","0","False"
"17","0","0","False"
"23","0","0","False"
"19","0","3","False"
"10","0","0","False"
"20","0","0","False"
"6","0","0","False"
"35","1","8","False"
"11","0","0","False"
"13","0","0","False"
"9","0","0","False"
"32","0","0","False"
"14","0","0","False"
"15","0","0","False"
"7","0","0","False"
"33","0","0","False"
"21","0","0","False"
"24","0","0","False"
"27","0","0","False"
"37","0","0","False"
"36","0","0","False"
"34","0","0","False"
"41","1","15","False"
"42","0","0","False"
"45","1","8","False"
"46","0","8","False"
"44","0","0","False"
"12","0","0","False"
"38","0","0","False"
"43","0","0","False"
"48","0","0","False"
"39","0","0","False"
"31","0","0","False"
"4","0","0","False"
"40","0","0","False"
"30","0","0","False"
"28","0","0","False"
"26","0","0","False"
"25","1","30","False"
"47","0","0","False"
"18","0","0","False"
"49","0","0","False"
"50","0","0","False"
"51","0","0","False"
"52","0","0","False"
"53","0","3","False"
"54","0","0","False"
"55","1","14","False"
"56","0","0","False"
"57","0","0","False"
"58","0","0","False"
"59","0","0","False"
"60","0","0","False"
"61","0","0","False"
"62","0","0","False"
"63","0","0","False"
"64","0","0","False"
"65","0","0","False"
"66","1","30","False"
"67","0","0","False"
"68","0","0","False"
"69","0","0","False"
"70","0","0","False"
"71","0","0","False"
"72","0","0","False"
"73","0","0","False"
"74","0","0","False"
"75","0","0","False"
"76","0","0","False"
"77","0","0","False"
"78","0","0","False"
"79","0","0","False"
"80","0","0","False"
"81","0","0","False"
