"Vevoazon","Peldany","SzlPeldany","SzlAr"
"383","2","2","False"
"384","2","1","False"
"385","2","2","False"
"386","2","1","False"
"387","2","1","False"
"388","2","2","False"
"389","2","1","False"
"390","0","1","False"
"391","2","1","False"
"392","2","1","False"
"393","0","1","False"
"1","3","2","False"
"2","2","1","False"
"3","3","1","False"
"5","0","1","False"
"8","2","2","False"
"22","0","2","False"
"16","3","1","False"
"29","2","1","False"
"17","2","1","False"
"23","3","1","False"
"19","3","1","False"
"10","3","1","False"
"20","2","1","False"
"6","3","1","False"
"35","3","1","False"
"11","3","2","False"
"13","3","1","False"
"9","3","1","False"
"32","0","2","False"
"14","3","1","False"
"15","3","2","False"
"7","3","1","False"
"33","3","2","False"
"21","3","1","False"
"24","2","1","True"
"27","3","2","False"
"37","3","1","False"
"36","3","2","False"
"34","3","1","False"
"41","2","1","False"
"42","3","1","False"
"45","3","1","False"
"46","0","1","False"
"44","2","1","False"
"12","2","1","False"
"38","3","1","False"
"43","2","1","False"
"48","3","2","False"
"39","3","2","False"
"31","3","2","False"
"4","3","2","False"
"40","3","1","False"
"30","3","2","False"
"28","3","1","False"
"26","2","1","False"
"25","2","2","False"
"47","3","2","False"
"18","0","1","False"
"49","2","1","False"
"50","0","2","False"
"51","3","2","False"
"52","2","1","False"
"53","2","1","False"
"54","2","1","False"
"55","2","1","False"
"56","3","1","False"
"57","2","1","False"
"58","3","2","False"
"59","0","1","False"
"60","0","1","False"
"61","3","1","False"
"62","0","1","False"
"63","2","1","True"
"64","2","1","False"
"65","0","1","False"
"66","2","1","True"
"67","3","1","False"
"68","3","1","False"
"69","2","1","False"
"70","3","1","False"
"71","3","1","False"
"72","2","1","False"
"73","3","1","False"
"74","0","0","False"
"75","3","1","False"
"76","0","2","False"
"77","0","1","False"
"78","3","1","False"
"79","3","1","False"
"80","2","1","False"
"81","3","1","False"
"82","0","2","False"
"83","3","1","False"
"84","3","1","False"
"85","3","2","False"
"86","2","1","False"
"88","3","1","False"
"89","3","1","False"
"87","2","1","False"
